,出口：中国台湾
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36423001 (SJFN)
SR码,SR520894
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,1057.4860016638943
方差,1258209.048641876
标准差,1121.6991792106635
偏度,3.004410821403535
峰度,17.913312134843324
变异系数,1.060722484690798
最小,8.373
最大,11214.6
中位数,891.374
总和 SUM,635549.0869999998
减 SUBTRACT,-11206.227
参照期间,601
01/1976,12.283
02/1976,8.373
03/1976,12.968
04/1976,10.569
05/1976,11.585
06/1976,12.086
07/1976,13.551
08/1976,18.776
09/1976,16.346
10/1976,13.564
11/1976,20.38
12/1976,16.221
01/1977,19.446
02/1977,16.029
03/1977,12.334
04/1977,34.796
05/1977,26.472
06/1977,21.313
07/1977,17.78
08/1977,25.492
09/1977,25.422
10/1977,31.207
11/1977,33.192
12/1977,28.866
01/1978,32.65
02/1978,19.58
03/1978,28.935
04/1978,24.811
05/1978,20.345
06/1978,23.491
07/1978,33.483
08/1978,41.366
09/1978,39.225
10/1978,26.625
11/1978,25.571
12/1978,33.1
01/1979,36.286
02/1979,27.377
03/1979,43.157
04/1979,33.273
05/1979,44.489
06/1979,34.792
07/1979,30.933
08/1979,47.497
09/1979,36.482
10/1979,31.722
11/1979,40.854
12/1979,43.712
01/1980,49.295
02/1980,79.789
03/1980,41.78
04/1980,62.431
05/1980,54.124
06/1980,72.217
07/1980,59.257
08/1980,69.899
09/1980,65.734
10/1980,41.664
11/1980,57.447
12/1980,48.32
01/1981,67.938
02/1981,74.57
03/1981,54.736
04/1981,41.873
05/1981,46.478
06/1981,52.954
07/1981,57.028
08/1981,50.014
09/1981,53.079
10/1981,33.636
11/1981,39.41
12/1981,34.881
01/1982,34.122
02/1982,60.091
03/1982,66.96
04/1982,43.446
05/1982,62.537
06/1982,48.667
07/1982,50.146
08/1982,41.403
09/1982,37.141
10/1982,44.483
11/1982,43.148
12/1982,43.648
01/1983,38.527
02/1983,55.513
03/1983,58.275
04/1983,38.496
05/1983,52.687
06/1983,62.673
07/1983,70.587
08/1983,82.772
09/1983,50.978
10/1983,53.519
11/1983,74.224
12/1983,49.224
01/1984,51.614
02/1984,50.255
03/1984,67.468
04/1984,58.923
05/1984,93.289
06/1984,71.061
07/1984,90.687
08/1984,86.891
09/1984,66.172
10/1984,75.003
11/1984,59.802
12/1984,58.454
01/1985,52.722
02/1985,58.32
03/1985,65.391
04/1985,65.778
05/1985,79.766
06/1985,55.877
07/1985,72.455
08/1985,111.909
09/1985,58.25
10/1985,113.038
11/1985,59.769
12/1985,61.899
01/1986,73.73
02/1986,77.283
03/1986,93.533
04/1986,86.197
05/1986,82.174
06/1986,93.296
07/1986,86.103
08/1986,86.607
09/1986,87.751
10/1986,102.638
11/1986,105.469
12/1986,122.383
01/1987,105.056
02/1987,112.027
03/1987,104.358
04/1987,122.033
05/1987,138.255
06/1987,151.213
07/1987,146.554
08/1987,134.252
09/1987,146.309
10/1987,131.213
11/1987,180.125
12/1987,165.309
01/1988,180.091
02/1988,146.01
03/1988,154.094
04/1988,168.301
05/1988,164.139
06/1988,176.303
07/1988,207.656
08/1988,202.508
09/1988,211.909
10/1988,212.793
11/1988,213.221
12/1988,197.881
01/1989,154.326
02/1989,168.08
03/1989,192.339
04/1989,238.846
05/1989,220.26
06/1989,226.412
07/1989,213.22
08/1989,220.135
09/1989,233.088
10/1989,211.057
11/1989,280.678
12/1989,263.577
01/1990,215.187
02/1990,237.76
03/1990,274.247
04/1990,231.673
05/1990,289.186
06/1990,283.671
07/1990,301.767
08/1990,300.995
09/1990,299.216
10/1990,340.048
11/1990,312.489
12/1990,335.507
01/1991,382.368
02/1991,224.316
03/1991,314.585
04/1991,248.11
05/1991,337.61
06/1991,316.367
07/1991,291.074
08/1991,276.209
09/1991,310.42
10/1991,324.211
11/1991,304.064
12/1991,291.703
01/1992,324.586
02/1992,278.694
03/1992,331.017
04/1992,324.487
05/1992,361.621
06/1992,374.507
07/1992,387.288
08/1992,326.045
09/1992,352.012
10/1992,342.393
11/1992,356.832
12/1992,428.329
01/1993,305.76
02/1993,326.968
03/1993,435.14
04/1993,407.475
05/1993,357.981
06/1993,405.604
07/1993,381.94
08/1993,360.54
09/1993,438.967
10/1993,390.982
11/1993,394.659
12/1993,435.364
01/1994,429.952
02/1994,334.633
03/1994,507.131
04/1994,428.457
05/1994,481.275
06/1994,526.583
07/1994,494.143
08/1994,529.228
09/1994,529.961
10/1994,543.086
11/1994,579.326
12/1994,555.77
01/1995,464.082
02/1995,495.294
03/1995,612.598
04/1995,543.324
05/1995,576.94
06/1995,552.759
07/1995,599.311
08/1995,543.613
09/1995,565.804
10/1995,576.973
11/1995,626.297
12/1995,665.318
01/1996,638.839
02/1996,504.167
03/1996,588.301
04/1996,567.556
05/1996,601.782
06/1996,521.222
07/1996,559.893
08/1996,503.574
09/1996,557.593
10/1996,632.295
11/1996,608.661
12/1996,586.001
01/1997,608.987
02/1997,513.173
03/1997,720.565
04/1997,734.07
05/1997,631.358
06/1997,656.257
07/1997,698.658
08/1997,693.536
09/1997,826.327
10/1997,791.132
11/1997,675.799
12/1997,817.595
01/1998,643.816
02/1998,728.563
03/1998,802.646
04/1998,662.339
05/1998,583.525
06/1998,534.478
07/1998,661.228
08/1998,643.76
09/1998,709.054
10/1998,694.251
11/1998,617.318
12/1998,647.764
01/1999,636.268
02/1999,542.145
03/1999,817.873
04/1999,768.318
05/1999,755.474
06/1999,768.701
07/1999,815.244
08/1999,739.843
09/1999,860.259
10/1999,891.374
11/1999,912.245
12/1999,969.526
01/2000,870.334
02/2000,821.592
03/2000,1114.212
04/2000,1105.498
05/2000,1238.093
06/2000,1352.012
07/2000,1407.165
08/2000,1456.117
09/2000,1332.285
10/2000,1296.567
11/2000,1152.954
12/2000,1048.632
01/2001,980.796
02/2001,897.616
03/2001,997.023
04/2001,986.91
05/2001,894.913
06/2001,926.698
07/2001,921.39
08/2001,871.617
09/2001,847.567
10/2001,1013.718
11/2001,976.31
12/2001,904.92
01/2002,926.811
02/2002,711.714
03/2002,978.165
04/2002,1033.264
05/2002,887.507
06/2002,912.064
07/2002,964.703
08/2002,862.712
09/2002,965.985
10/2002,969.835
11/2002,971.855
12/2002,902.135
01/2003,1003.1
02/2003,940.4
03/2003,1027.1
04/2003,973.1
05/2003,812.8
06/2003,861.7
07/2003,981.2
08/2003,1000.2
09/2003,1119.4
10/2003,1063.5
11/2003,1056.9
12/2003,1172.4
01/2004,1023
02/2004,1093.9
03/2004,1243.4
04/2004,1211.2
05/2004,1143
06/2004,1093.3
07/2004,1217.5
08/2004,1061.1
09/2004,1301
10/2004,1235.7
11/2004,1245.6
12/2004,1206.4
01/2005,1019.4
02/2005,869
03/2005,1193.3
04/2005,1285.1
05/2005,1383.3
06/2005,1166.7
07/2005,1298.7
08/2005,1284.6
09/2005,1324.5
10/2005,1328.1
11/2005,1358.1
12/2005,1427.2
01/2006,1248.5
02/2006,1153.9
03/2006,1415.8
04/2006,1374.4
05/2006,1318.3
06/2006,1325.6
07/2006,1250.9
08/2006,1242.7
09/2006,1280.7
10/2006,1285.9
11/2006,1182.9
12/2006,993.8
01/2007,1263.3
02/2007,817.3
03/2007,1165.9
04/2007,1169.7
05/2007,1058.5
06/2007,1128.4
07/2007,1179.9
08/2007,1262.2
09/2007,1110.3
10/2007,1328.3
11/2007,1199.6
12/2007,1112
01/2008,1256.3
02/2008,1022.1
03/2008,1050.1
04/2008,1210.2
