,出口：美国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36423101 (SJFQ)
SR码,SR520859
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,[COVID-19-IMPACT]
建议,
平均 MEAN,2409.301730449248
方差,1947705.4151068814
标准差,1395.6021693544624
偏度,0.4404978377953158
峰度,0.19080757973485696
变异系数,0.5792558697470543
最小,151.791
最大,7839.8
中位数,2456.7
总和 SUM,1447990.3399999999
减 SUBTRACT,-7688.009
参照期间,601
01/1976,244.148
02/1976,151.791
03/1976,193.48
04/1976,161.726
05/1976,191.72
06/1976,195.342
07/1976,229.319
08/1976,175.253
09/1976,215.515
10/1976,201.301
11/1976,224.226
12/1976,209.646
01/1977,288.103
02/1977,226.111
03/1977,238.401
04/1977,255.628
05/1977,237.275
06/1977,277.978
07/1977,284.027
08/1977,293.942
09/1977,253.813
10/1977,250.147
11/1977,273.632
12/1977,241.788
01/1978,265.378
02/1978,158.395
03/1978,349.493
04/1978,331.028
05/1978,351.432
06/1978,273.868
07/1978,283.74
08/1978,305.499
09/1978,283.579
10/1978,331.065
11/1978,396.476
12/1978,354.582
01/1979,325.706
02/1979,310.432
03/1979,333.722
04/1979,318.503
05/1979,376.875
06/1979,375.907
07/1979,375.375
08/1979,354.809
09/1979,377.823
10/1979,359.889
11/1979,380.492
12/1979,376.348
01/1980,447.165
02/1980,479.425
03/1980,371.897
04/1980,404.652
05/1980,480.739
06/1980,385.128
07/1980,550
08/1980,366.257
09/1980,390.327
10/1980,524.568
11/1980,404.4
12/1980,467.396
01/1981,370.584
02/1981,378.264
03/1981,476.57
04/1981,509.415
05/1981,538.456
06/1981,469.812
07/1981,605.605
08/1981,455.034
09/1981,511.297
10/1981,458.153
11/1981,482.457
12/1981,593.031
01/1982,353.703
02/1982,438.772
03/1982,413.871
04/1982,553.897
05/1982,433.151
06/1982,481.3
07/1982,609.016
08/1982,452.336
09/1982,499.455
10/1982,509.997
11/1982,436.597
12/1982,411.253
01/1983,417.867
02/1983,448.403
03/1983,579.917
04/1983,733.629
05/1983,667.221
06/1983,717.967
07/1983,658.398
08/1983,924.405
09/1983,865.042
10/1983,716.944
11/1983,795.802
12/1983,848.095
01/1984,911.2
02/1984,674.794
03/1984,834.429
04/1984,793.883
05/1984,771.219
06/1984,860.622
07/1984,1096.896
08/1984,771.793
09/1984,817.548
10/1984,891.799
11/1984,1016.4
12/1984,851.149
01/1985,1042.405
02/1985,899.295
03/1985,688.168
04/1985,1004.689
05/1985,920.731
06/1985,853.061
07/1985,850.937
08/1985,935.687
09/1985,795.691
10/1985,950.863
11/1985,832.089
12/1985,845.4
01/1986,772.309
02/1986,822.619
03/1986,758.182
04/1986,1034.726
05/1986,866.194
06/1986,979.695
07/1986,903.047
08/1986,1026.731
09/1986,1052.311
10/1986,1063.448
11/1986,1034.698
12/1986,1122.384
01/1987,1019.015
02/1987,981.044
03/1987,951.595
04/1987,1249.166
05/1987,1070.681
06/1987,1152.381
07/1987,1349.081
08/1987,1196.614
09/1987,1397.304
10/1987,1348.247
11/1987,1492.722
12/1987,1466.561
01/1988,1315.304
02/1988,1408.948
03/1988,1196.779
04/1988,1429.174
05/1988,1558.826
06/1988,1550.515
07/1988,1755.938
08/1988,1521.539
09/1988,1735.483
10/1988,1911.985
11/1988,1668.16
12/1988,1773.383
01/1989,1430.568
02/1989,1192.684
03/1989,1688.113
04/1989,1762.377
05/1989,1581.571
06/1989,1694.808
07/1989,1598.13
08/1989,1858.4
09/1989,1874.636
10/1989,1763.576
11/1989,1894.459
12/1989,1951.494
01/1990,1633.858
02/1990,1347.475
03/1990,1721.488
04/1990,1564.548
05/1990,1801.933
06/1990,1864.931
07/1990,1706.581
08/1990,1828.646
09/1990,1745.722
10/1990,1733.868
11/1990,1658.989
12/1990,1637.488
01/1991,1557.444
02/1991,1273.893
03/1991,1554.854
04/1991,1620.123
05/1991,1591.813
06/1991,1995.472
07/1991,1691.894
08/1991,1599.786
09/1991,1884.086
10/1991,1958.754
11/1991,1720.359
12/1991,1654.506
01/1992,1718.492
02/1992,1315.583
03/1992,1842.59
04/1992,1563.882
05/1992,1666.335
06/1992,1980.955
07/1992,1891.129
08/1992,1874.421
09/1992,2043.463
10/1992,1885.03
11/1992,1878.778
12/1992,2118.259
01/1993,1515.455
02/1993,1659.06
03/1993,2036.87
04/1993,1906.129
05/1993,1908.245
06/1993,2236.356
07/1993,2250.954
08/1993,2023.429
09/1993,2421.575
10/1993,2116.171
11/1993,1999.521
12/1993,2217.988
01/1994,1988.506
02/1994,1643.605
03/1994,2422.45
04/1994,2138.101
05/1994,2146.66
06/1994,2548.963
07/1994,2394.339
08/1994,2507.297
09/1994,2545.607
10/1994,2402.601
11/1994,2405.291
12/1994,2493.594
01/1995,2256.053
02/1995,1899.961
03/1995,2444.834
04/1995,2211.776
05/1995,2326.164
06/1995,2729.211
07/1995,2481.906
08/1995,2876.158
09/1995,2897.813
10/1995,2837.214
11/1995,2866.798
12/1995,2718.653
01/1996,2774.576
02/1996,2276.097
03/1996,3002.823
04/1996,2741.661
05/1996,2730.332
06/1996,2508.446
07/1996,2884.766
08/1996,2574.607
09/1996,2930.097
10/1996,2862.592
11/1996,2602.9
12/1996,2557.409
01/1997,2550.246
02/1997,1937.792
03/1997,2607.844
04/1997,2939.109
05/1997,2695.182
06/1997,2672.996
07/1997,3093.668
08/1997,2872.42
09/1997,3536.423
10/1997,3149.899
11/1997,2903.595
12/1997,3158.32
01/1998,2858.28
02/1998,2760.832
03/1998,3315.953
04/1998,3133.938
05/1998,2851.797
06/1998,3172.283
07/1998,3173.228
08/1998,3204.788
09/1998,3264.328
10/1998,3058.359
11/1998,2873.114
12/1998,2838.77
01/1999,2589.156
02/1999,2407.775
03/1999,3025.746
04/1999,3055.841
05/1999,3100.853
06/1999,3178.821
07/1999,3453.853
08/1999,3213.568
09/1999,3296.479
10/1999,3138.035
11/1999,3214.173
12/1999,3540.465
01/2000,2702.159
02/2000,2929.065
03/2000,3316.307
04/2000,2863.951
05/2000,3065.016
06/2000,3298.807
07/2000,3536.131
08/2000,3905.122
09/2000,3844.458
10/2000,3993.244
11/2000,3901.908
12/2000,3832.691
01/2001,3109.91
02/2001,3066.502
03/2001,3338.829
04/2001,2831.346
05/2001,2726.325
06/2001,2997.403
07/2001,2488.163
08/2001,2635.813
09/2001,2402.797
10/2001,2762.179
11/2001,2608.928
12/2001,2565.39
01/2002,2552.538
02/2002,2256.079
03/2002,2644.203
04/2002,2791.163
05/2002,2841.248
06/2002,2763.451
07/2002,2993.163
08/2002,3077.042
09/2002,2690.465
10/2002,2707.534
11/2002,3205.915
12/2002,2412.473
01/2003,2777.6
02/2003,2420.5
03/2003,2705.7
04/2003,2800.7
05/2003,2824.9
06/2003,2955.3
07/2003,2768.5
08/2003,2634.3
09/2003,2945.5
10/2003,3107.7
11/2003,2631.5
12/2003,2887.8
01/2004,2580.7
02/2004,2377.4
03/2004,3190.3
04/2004,2988
05/2004,3027.8
06/2004,3334.3
07/2004,3493.1
08/2004,3437.6
09/2004,3414.5
10/2004,3344.1
11/2004,3115.3
12/2004,3197.6
01/2005,2985.5
02/2005,2874.7
03/2005,3257.1
04/2005,3062.1
05/2005,3002.1
06/2005,3229.6
07/2005,3258.8
08/2005,3400.6
09/2005,3282.5
10/2005,3540.6
11/2005,3717.4
12/2005,3413.3
01/2006,3086
02/2006,3325
03/2006,3857.3
04/2006,3469.7
05/2006,3442.8
06/2006,3974
07/2006,3807.2
