,出口：韩国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36422901 (SJFM)
SR码,SR520888
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,919.4824708818645
方差,676762.8889279425
标准差,822.6559967130505
偏度,0.49068451356299286
峰度,-1.08633069178258
变异系数,0.8946945948018467
最小,10.344
最大,3083
中位数,706.575
总和 SUM,552608.9650000003
减 SUBTRACT,-3072.656
参照期间,601
01/1976,10.344
02/1976,10.413
03/1976,14.527
04/1976,11.577
05/1976,13.667
06/1976,15.814
07/1976,16.554
08/1976,18.734
09/1976,17.039
10/1976,18.295
11/1976,17.335
12/1976,18.349
01/1977,20.348
02/1977,12.338
03/1977,43.797
04/1977,18.516
05/1977,24.562
06/1977,25
07/1977,34.133
08/1977,22.305
09/1977,38.546
10/1977,21.326
11/1977,34.793
12/1977,17.91
01/1978,32.217
02/1978,18.497
03/1978,25.716
04/1978,28.76
05/1978,20.973
06/1978,33.029
07/1978,31.136
08/1978,49.559
09/1978,31.958
10/1978,43.815
11/1978,43.099
12/1978,41.305
01/1979,34.906
02/1979,43.926
03/1979,38.309
04/1979,32.897
05/1979,42.207
06/1979,34.475
07/1979,51.179
08/1979,29.618
09/1979,39.71
10/1979,60.077
11/1979,41.432
12/1979,51.704
01/1980,74.188
02/1980,70.403
03/1980,58.032
04/1980,93.731
05/1980,60.962
06/1980,31.172
07/1980,35.644
08/1980,30.359
09/1980,68.469
10/1980,27.332
11/1980,24.324
12/1980,47.238
01/1981,47.48
02/1981,30.385
03/1981,50.863
04/1981,37.044
05/1981,55.097
06/1981,69.756
07/1981,65.851
08/1981,56.518
09/1981,83.595
10/1981,42.944
11/1981,37.08
12/1981,44.857
01/1982,36.958
02/1982,37.565
03/1982,55.908
04/1982,64.497
05/1982,46.633
06/1982,69.573
07/1982,84.178
08/1982,40.244
09/1982,62.225
10/1982,70.847
11/1982,36.713
12/1982,73.01
01/1983,99.198
02/1983,58.153
03/1983,73.916
04/1983,88.732
05/1983,72.41
06/1983,129.463
07/1983,77.218
08/1983,80.412
09/1983,69.158
10/1983,76.145
11/1983,73.452
12/1983,66.321
01/1984,94.618
02/1984,85.344
03/1984,89.156
04/1984,87.237
05/1984,46.039
06/1984,41.701
07/1984,77.318
08/1984,58.585
09/1984,67.187
10/1984,52.454
11/1984,50.731
12/1984,63.813
01/1985,59.044
02/1985,48.173
03/1985,64.931
04/1985,57.388
05/1985,55.248
06/1985,49.999
07/1985,63.845
08/1985,47.532
09/1985,47.22
10/1985,44.581
11/1985,38.502
12/1985,43.058
01/1986,34.438
02/1986,41.178
03/1986,52.348
04/1986,85.717
05/1986,59.825
06/1986,66.324
07/1986,70.769
08/1986,60.915
09/1986,41.495
10/1986,60.91
11/1986,49.23
12/1986,79.87
01/1987,82.14
02/1987,55.966
03/1987,61.95
04/1987,95.534
05/1987,108.68
06/1987,76.786
07/1987,76.538
08/1987,87.981
09/1987,89.888
10/1987,91.976
11/1987,60.763
12/1987,106.854
01/1988,93.321
02/1988,105.696
03/1988,104.399
04/1988,114.502
05/1988,118.716
06/1988,114.986
07/1988,131.852
08/1988,128.771
09/1988,157.922
10/1988,192.204
11/1988,139.238
12/1988,150.174
01/1989,144.955
02/1989,150.061
03/1989,153.539
04/1989,135.201
05/1989,139.643
06/1989,132.39
07/1989,162.577
08/1989,141.083
09/1989,145.481
10/1989,113.337
11/1989,151.751
12/1989,114.951
01/1990,112.833
02/1990,167.468
03/1990,180.406
04/1990,127.799
05/1990,166.193
06/1990,144.882
07/1990,169.548
08/1990,164.017
09/1990,149.892
10/1990,305.042
11/1990,175.628
12/1990,244.421
01/1991,201.284
02/1991,171.602
03/1991,180.729
04/1991,249.491
05/1991,220.911
06/1991,195.76
07/1991,230.789
08/1991,249.742
09/1991,177.725
10/1991,155.047
11/1991,203.031
12/1991,171.745
01/1992,201.085
02/1992,139.881
03/1992,192.868
04/1992,192.141
05/1992,200.047
06/1992,186.475
07/1992,180.594
08/1992,199.455
09/1992,213.026
10/1992,187.072
11/1992,185.28
12/1992,247.41
01/1993,239.628
02/1993,234.433
03/1993,267.863
04/1993,256.319
05/1993,270.129
06/1993,249.096
07/1993,268.316
08/1993,275.555
09/1993,322.086
10/1993,289.759
11/1993,328.129
12/1993,324.386
01/1994,283.047
02/1994,232.071
03/1994,325.407
04/1994,331.218
05/1994,296.778
06/1994,339.21
07/1994,351.501
08/1994,344.319
09/1994,336.982
10/1994,318.564
11/1994,326.855
12/1994,384.908
01/1995,371.89
02/1995,319.989
03/1995,398.939
04/1995,376.072
05/1995,394.012
06/1995,398.262
07/1995,382.825
08/1995,400.578
09/1995,359.601
10/1995,391.919
11/1995,372.251
12/1995,430.201
01/1996,438.7
02/1996,354.843
03/1996,407.029
04/1996,454.803
05/1996,472.124
06/1996,522.42
07/1996,440.917
08/1996,419.381
09/1996,478.219
10/1996,421.207
11/1996,442.151
12/1996,501.079
01/1997,509.249
02/1997,412.639
03/1997,536.287
04/1997,454.406
05/1997,393.385
06/1997,418.915
07/1997,451.733
08/1997,382.176
09/1997,487.616
10/1997,468.633
11/1997,524.875
12/1997,443.043
01/1998,336.818
02/1998,333.061
03/1998,335.802
04/1998,332.886
05/1998,312.587
06/1998,417.714
07/1998,318.07
08/1998,300.795
09/1998,424.491
10/1998,360.541
11/1998,374.542
12/1998,443.775
01/1999,401.58
02/1999,408.917
03/1999,532.318
04/1999,519.494
05/1999,473.084
06/1999,473.014
07/1999,474.679
08/1999,471.306
09/1999,536.987
10/1999,453.198
11/1999,570.183
12/1999,712.505
01/2000,588.285
02/2000,609.49
03/2000,826.085
04/2000,679.402
05/2000,704.206
06/2000,679.641
07/2000,708.031
08/2000,731.264
09/2000,706.575
10/2000,791.978
11/2000,732.928
12/2000,721.038
01/2001,672.266
02/2001,739.28
03/2001,738.234
04/2001,628.816
05/2001,691.124
06/2001,674.096
07/2001,639.113
08/2001,682.619
09/2001,725.365
10/2001,739.798
11/2001,795.269
12/2001,665.748
01/2002,773.243
02/2002,623.998
03/2002,739.304
04/2002,805.331
05/2002,737.431
06/2002,722.939
07/2002,725.56
08/2002,754.616
09/2002,810.623
10/2002,959.176
11/2002,936.229
12/2002,876.662
01/2003,1012.8
02/2003,851
03/2003,958.5
04/2003,847.4
05/2003,724.1
06/2003,727.8
07/2003,809.2
08/2003,859.5
09/2003,849.4
10/2003,1027.6
11/2003,942.4
12/2003,971.6
01/2004,941.9
02/2004,902.6
03/2004,1020.2
04/2004,1003.2
05/2004,1020.8
06/2004,1086
07/2004,1058.8
08/2004,999.3
09/2004,1247
10/2004,1110.5
11/2004,1002.3
12/2004,1102.6
01/2005,979.3
02/2005,912.1
03/2005,1173.6
04/2005,1082.3
05/2005,1054.2
06/2005,1100.5
07/2005,1097.7
08/2005,1168
09/2005,1211.8
10/2005,1284.6
11/2005,1246.8
12/2005,1101.3
01/2006,1150.2
02/2006,1122.1
03/2006,1323.3
04/2006,1194.7
05/2006,1144.7
06/2006,1148.5
07/2006,1087.6
08/2006,1042.9
09/2006,1226.5
10/2006,1202.3
11/2006,1186.4
12/2006,1171.9
01/2007,1203.4
02/2007,1092.6
03/2007,1353.5
04/2007,1376.8
05/2007,1294.2
06/2007,1241.1
07/2007,1380.7
08/2007,1396.7
09/2007,1354.1
10/2007,1532.4
11/2007,1422.5
12/2007,1353.6
01/2008,1652.8
02/2008,1497.1
03/2008,1414
04/2008,1666.4
05/2008,1412.4
06/2008,1429
07/2008,1516.9
