,出口：马来西亚
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36422301 (SJFF)
SR码,SR520890
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,[COVID-19-IMPACT]
建议,
平均 MEAN,2973.5127853577355
方差,3790135.881120139
标准差,1946.8271318019324
偏度,0.018672168323986126
峰度,-1.3792528434940987
变异系数,0.6547229732418032
最小,171.755
最大,7189.4
中位数,3135.71
总和 SUM,1787081.1840000018
减 SUBTRACT,-7017.6449999999995
参照期间,601
01/1976,180.289
02/1976,171.755
03/1976,201.753
04/1976,207.398
05/1976,188.857
06/1976,196.107
07/1976,231.574
08/1976,201.877
09/1976,226.243
10/1976,216.321
11/1976,254.307
12/1976,204.432
01/1977,218.018
02/1977,186.543
03/1977,236.836
04/1977,219.973
05/1977,228.786
06/1977,250.51
07/1977,253.684
08/1977,258.209
09/1977,245.142
10/1977,256.27
11/1977,255.812
12/1977,264.161
01/1978,242.391
02/1978,192.937
03/1978,273.968
04/1978,257.19
05/1978,263.83
06/1978,279.919
07/1978,277.65
08/1978,293.25
09/1978,261.234
10/1978,267.899
11/1978,306.131
12/1978,277.105
01/1979,269.908
02/1979,303.765
03/1979,333.776
04/1979,342.826
05/1979,362.776
06/1979,372.031
07/1979,391.067
08/1979,396.656
09/1979,373.661
10/1979,420.42
11/1979,463.184
12/1979,397.36
01/1980,436.237
02/1980,398.096
03/1980,461.448
04/1980,524.922
05/1980,520.958
06/1980,546.381
07/1980,570.137
08/1980,519.258
09/1980,544.241
10/1980,586.154
11/1980,520.14
12/1980,590.028
01/1981,578.728
02/1981,432.41
03/1981,573.2
04/1981,574.717
05/1981,588.484
06/1981,588.889
07/1981,628.136
08/1981,544.976
09/1981,614.077
10/1981,612.324
11/1981,567.315
12/1981,603.368
01/1982,519.862
02/1982,544.212
03/1982,676.257
04/1982,671.736
05/1982,650.386
06/1982,715.696
07/1982,672.58
08/1982,633.461
09/1982,639.832
10/1982,755.216
11/1982,679.92
12/1982,699.707
01/1983,679.325
02/1983,562.101
03/1983,708.814
04/1983,760.579
05/1983,663.994
06/1983,720.654
07/1983,681.599
08/1983,638.616
09/1983,673.078
10/1983,731.994
11/1983,610.951
12/1983,689.611
01/1984,742.191
02/1984,547.173
03/1984,667.926
04/1984,655.619
05/1984,726.548
06/1984,684.903
07/1984,714.134
08/1984,726.83
09/1984,676.729
10/1984,785.858
11/1984,738.715
12/1984,657.551
01/1985,754.854
02/1985,649.889
03/1985,651.565
04/1985,727.13
05/1985,643.919
06/1985,610.39
07/1985,643.829
08/1985,675.814
09/1985,587.706
10/1985,651.994
11/1985,640.608
12/1985,549.041
01/1986,585.92
02/1986,555.985
03/1986,532.033
04/1986,633.797
05/1986,587.474
06/1986,586.766
07/1986,630.28
08/1986,647.891
09/1986,609.84
10/1986,620.93
11/1986,608.744
12/1986,644.981
01/1987,577.912
02/1987,552.455
03/1987,595.693
04/1987,701.706
05/1987,696.297
06/1987,700.604
07/1987,750.128
08/1987,745.315
09/1987,865.325
10/1987,767.198
11/1987,831.811
12/1987,775.186
01/1988,824.382
02/1988,742.088
03/1988,793.266
04/1988,875.269
05/1988,820.32
06/1988,988.425
07/1988,866.038
08/1988,1048.984
09/1988,846.475
10/1988,895.286
11/1988,848.48
12/1988,1172.119
01/1989,615.855
02/1989,750.665
03/1989,1083.429
04/1989,942.411
05/1989,751.809
06/1989,927.629
07/1989,866.06
08/1989,1163.051
09/1989,1173.644
10/1989,1332.975
11/1989,1003.609
12/1989,1303.657
01/1990,1024.246
02/1990,864.846
03/1990,1358.134
04/1990,1012.601
05/1990,892.337
06/1990,786.323
07/1990,984.668
08/1990,983.742
09/1990,821.906
10/1990,987.847
11/1990,1309.566
12/1990,1422.268
01/1991,1622.47
02/1991,957.763
03/1991,1676.461
04/1991,1276.071
05/1991,1154.953
06/1991,1424.682
07/1991,1505.416
08/1991,1213.309
09/1991,1272.952
10/1991,1036.485
11/1991,1136.556
12/1991,958.935
01/1992,982.791
02/1992,955.212
03/1992,1181.863
04/1992,1122.006
05/1992,991.921
06/1992,1193.842
07/1992,1355.802
08/1992,928.394
09/1992,837.538
10/1992,1027.437
11/1992,1115.057
12/1992,1233.545
01/1993,1134.396
02/1993,1025.826
03/1993,1557.589
04/1993,1626.172
05/1993,1522.007
06/1993,1464.752
07/1993,1483.037
08/1993,1246.068
09/1993,1581.079
10/1993,1215.671
11/1993,1520.24
12/1993,1565.327
01/1994,1983.806
02/1994,1215.239
03/1994,1552.544
04/1994,2829.757
05/1994,2533.09
06/1994,2768.989
07/1994,2651.194
08/1994,2832.873
09/1994,2697.599
10/1994,2649.416
11/1994,2729.37
12/1994,2645.618
01/1995,2368.698
02/1995,2156.558
03/1995,2583.692
04/1995,2476.2
05/1995,2726.272
06/1995,2858.48
07/1995,2870.911
08/1995,2975.607
09/1995,2844.715
10/1995,2755.182
11/1995,2847.922
12/1995,2660.619
01/1996,2845.081
02/1996,2016.194
03/1996,2670.924
04/1996,2581.807
05/1996,2633.529
06/1996,2594.263
07/1996,2857.454
08/1996,2723.948
09/1996,2649.302
10/1996,2826.135
11/1996,2639.697
12/1996,2704.557
01/1997,2768.841
02/1997,1899.276
03/1997,2816.831
04/1997,2757.363
05/1997,2828.898
06/1997,2761.915
07/1997,2941.349
08/1997,2731.95
09/1997,2791.749
10/1997,2796.507
11/1997,2678.064
12/1997,2632.081
01/1998,2090.067
02/1998,2209.241
03/1998,2420.703
04/1998,2290.578
05/1998,2215.887
06/1998,2364.422
07/1998,2612.946
08/1998,2472.599
09/1998,2495.498
10/1998,2350.196
11/1998,2202.275
12/1998,2274.472
01/1999,2025.327
02/1999,1939.151
03/1999,2470.643
04/1999,2532.733
05/1999,2518.972
06/1999,2768.63
07/1999,2748.071
08/1999,2695.249
09/1999,2884.802
10/1999,3015.418
11/1999,3196.808
12/1999,3367.876
01/2000,2755.336
02/2000,2743.854
03/2000,3471.551
04/2000,3184.433
05/2000,3480.236
06/2000,3596.275
07/2000,3904.258
08/2000,4220.384
09/2000,4146.329
10/2000,4090.78
11/2000,4066.442
12/2000,3529.953
01/2001,3172.437
02/2001,3019.601
03/2001,3236.905
04/2001,3154.896
05/2001,3146.201
06/2001,3094.318
07/2001,3343.906
08/2001,3191.914
09/2001,3024.315
10/2001,3468.54
11/2001,3279.228
12/2001,2689.201
01/2002,3109.414
02/2002,2486.936
03/2002,3275.646
04/2002,3580.349
05/2002,3552.097
06/2002,3390.779
07/2002,3774.069
08/2002,3468.065
09/2002,3257.083
10/2002,3465.34
11/2002,3135.71
12/2002,2914.255
01/2003,3226.7
02/2003,2783.1
03/2003,3197.7
04/2003,3479.3
05/2003,3262.7
06/2003,3240.9
07/2003,3584.3
08/2003,3368.2
09/2003,3535
10/2003,3703.1
11/2003,3266.7
12/2003,3589.6
01/2004,3187.1
02/2004,3284.3
03/2004,3758.7
04/2004,3762.1
05/2004,3694.9
06/2004,3872.9
07/2004,4074.2
08/2004,4238.4
09/2004,4332.9
10/2004,4256.5
11/2004,3780.7
12/2004,4081.1
01/2005,3710.8
02/2005,3354.7
03/2005,4322.9
04/2005,3999.4
05/2005,4141.1
06/2005,4086.8
07/2005,4384
08/2005,4492.4
09/2005,4575.3
10/2005,4878.9
11/2005,4382.3
12/2005,4588.9
01/2006,4202.6
02/2006,4061
03/2006,4592.3
04/2006,4534.1
05/2006,4849
06/2006,4951.6
07/2006,5049.8
08/2006,5503.3
09/2006,5099.9
10/2006,4786.3
11/2006,4800.3
