,进口：中国台湾
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36417001 (SJCN)
SR码,SR739138
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,[COVID-19-IMPACT]
建议,
平均 MEAN,1777.7039700499179
方差,4492762.138204557
标准差,2119.613676641231
偏度,1.874125042350159
峰度,3.9649542398698285
变异系数,1.1923321949839107
最小,34.839
最大,12794
中位数,761.725
总和 SUM,1068400.086
减 SUBTRACT,-12759.161
参照期间,601
01/1976,44.996
02/1976,39.439
03/1976,34.839
04/1976,42.933
05/1976,43.262
06/1976,48.939
07/1976,41.663
08/1976,50.831
09/1976,46.471
10/1976,40.356
11/1976,55.499
12/1976,47.649
01/1977,60.991
02/1977,49.974
03/1977,44.354
04/1977,44.397
05/1977,41.026
06/1977,44.882
07/1977,53.916
08/1977,44.808
09/1977,49.271
10/1977,51.532
11/1977,42.279
12/1977,56.381
01/1978,57.408
02/1978,56.199
03/1978,42.382
04/1978,49.083
05/1978,47.913
06/1978,63.335
07/1978,58.856
08/1978,67.021
09/1978,83.003
10/1978,56.572
11/1978,73.386
12/1978,77.463
01/1979,75.44
02/1979,74.629
03/1979,70.967
04/1979,68.395
05/1979,77.178
06/1979,85.776
07/1979,89.278
08/1979,81.869
09/1979,92.047
10/1979,91.786
11/1979,73.354
12/1979,103.508
01/1980,85.751
02/1980,90.768
03/1980,89.02
04/1980,114.971
05/1980,107.745
06/1980,107.016
07/1980,109.33
08/1980,100.497
09/1980,100.308
10/1980,105.023
11/1980,89.077
12/1980,116.776
01/1981,112.377
02/1981,102.473
03/1981,86.096
04/1981,112.911
05/1981,97.671
06/1981,105.708
07/1981,118.329
08/1981,110.279
09/1981,116.53
10/1981,103.622
11/1981,95.106
12/1981,113.954
01/1982,96.575
02/1982,85.889
03/1982,105.957
04/1982,104.021
05/1982,106.328
06/1982,115.509
07/1982,127.736
08/1982,101.219
09/1982,110.818
10/1982,108.122
11/1982,119.986
12/1982,127.771
01/1983,118.006
02/1983,113.247
03/1983,117.849
04/1983,120.087
05/1983,148.296
06/1983,143.213
07/1983,134.734
08/1983,146.918
09/1983,140.879
10/1983,134.658
11/1983,142.609
12/1983,140.962
01/1984,165.162
02/1984,141.145
03/1984,148.545
04/1984,141.162
05/1984,163.456
06/1984,169.227
07/1984,170.262
08/1984,167.119
09/1984,133.9
10/1984,218.711
11/1984,192.825
12/1984,186.285
01/1985,157.357
02/1985,192.39
03/1985,114.592
04/1985,143.158
05/1985,168.747
06/1985,193.415
07/1985,152.994
08/1985,177.534
09/1985,157.263
10/1985,166.167
11/1985,146.403
12/1985,152.067
01/1986,147.45
02/1986,164.839
03/1986,133.803
04/1986,176.73
05/1986,196.582
06/1986,191.018
07/1986,180.686
08/1986,218.139
09/1986,194.86
10/1986,189.731
11/1986,215.923
12/1986,234.378
01/1987,250.557
02/1987,223.65
03/1987,169.175
04/1987,292.448
05/1987,253.208
06/1987,244.935
07/1987,320.705
08/1987,244.02
09/1987,284.178
10/1987,267.865
11/1987,286.492
12/1987,306.226
01/1988,321.743
02/1988,271.02
03/1988,279.475
04/1988,322.584
05/1988,350.494
06/1988,366.94
07/1988,337.114
08/1988,362.019
09/1988,343.697
10/1988,328.179
11/1988,362.789
12/1988,350.611
01/1989,326.398
02/1989,261.133
03/1989,376.153
04/1989,373.452
05/1989,376.11
06/1989,393.904
07/1989,349.149
08/1989,389.851
09/1989,364.3
10/1989,365.641
11/1989,439.887
12/1989,356.864
01/1990,413.659
02/1990,308.367
03/1990,375.12
04/1990,331.296
05/1990,402.794
06/1990,401.25
07/1990,404.778
08/1990,425.238
09/1990,377.779
10/1990,423.336
11/1990,403.399
12/1990,410.45
01/1991,381.862
02/1991,323.392
03/1991,360.304
04/1991,399.262
05/1991,457.796
06/1991,419.88
07/1991,420.716
08/1991,409.378
09/1991,366.433
10/1991,387.512
11/1991,381.542
12/1991,373.299
01/1992,380.523
02/1992,271.814
03/1992,383.906
04/1992,396.354
05/1992,406.89
06/1992,409.281
07/1992,425.929
08/1992,413.13
09/1992,364.349
10/1992,404.178
11/1992,403.574
12/1992,461.379
01/1993,362.197
02/1993,365.667
03/1993,537.327
04/1993,442
05/1993,455.694
06/1993,461.314
07/1993,493.504
08/1993,454.294
09/1993,467.297
10/1993,461.73
11/1993,467.14
12/1993,489.501
01/1994,462.477
02/1994,361.78
03/1994,500.651
04/1994,541.071
05/1994,508.043
06/1994,507.901
07/1994,489.015
08/1994,507.24
09/1994,571.595
10/1994,528.174
11/1994,514.475
12/1994,525.797
01/1995,496.95
02/1995,424.521
03/1995,570.101
04/1995,503.761
05/1995,602.308
06/1995,568.186
07/1995,689.653
08/1995,650.103
09/1995,632.934
10/1995,685.907
11/1995,719.418
12/1995,707.035
01/1996,673.543
02/1996,598.828
03/1996,639.973
04/1996,602.585
05/1996,652.504
06/1996,551.491
07/1996,596.949
08/1996,609.274
09/1996,586.388
10/1996,647.679
11/1996,629.197
12/1996,632.615
01/1997,585.899
02/1997,423.023
03/1997,713.561
04/1997,692.103
05/1997,689.64
06/1997,670.435
07/1997,719.889
08/1997,701.136
09/1997,725.531
10/1997,761.725
11/1997,744.014
12/1997,781.041
01/1998,565.387
02/1998,484.924
03/1998,538.609
04/1998,531.37
05/1998,524.147
06/1998,651.897
07/1998,621.596
08/1998,521.856
09/1998,527.019
10/1998,528.911
11/1998,496.525
12/1998,524.388
01/1999,515.758
02/1999,445.614
03/1999,567.471
04/1999,606.187
05/1999,664.762
06/1999,586.072
07/1999,713.74
08/1999,729.283
09/1999,652.046
10/1999,640.613
11/1999,654.298
12/1999,764.399
01/2000,623.739
02/2000,561.964
03/2000,770.674
04/2000,690.995
05/2000,808.906
06/2000,877.741
07/2000,942.027
08/2000,971.923
09/2000,970.195
10/2000,1044.786
11/2000,1056.671
12/2000,976.635
01/2001,874.234
02/2001,716.748
03/2001,832.503
04/2001,780.925
05/2001,716.799
06/2001,723.701
07/2001,672.158
08/2001,679.005
09/2001,652.751
10/2001,678.256
11/2001,704.036
12/2001,799.452
01/2002,776.718
02/2002,573.504
03/2002,749.643
04/2002,793.43
05/2002,810.869
06/2002,835.105
07/2002,888.325
08/2002,857.533
09/2002,726.701
10/2002,849.477
11/2002,847.143
12/2002,821.655
01/2003,826.2
02/2003,682.3
03/2003,875.1
04/2003,829.6
05/2003,829.4
06/2003,810.9
07/2003,1005.6
08/2003,999.9
09/2003,1010.6
10/2003,1088
11/2003,1109.7
12/2003,1195.9
01/2004,1144.4
02/2004,1175
03/2004,1286.4
04/2004,1216.9
05/2004,1347.1
06/2004,1296.6
07/2004,1417.9
08/2004,1298.5
09/2004,1377
10/2004,1421.4
11/2004,1450
12/2004,1395.8
01/2005,1443.3
02/2005,1129.4
03/2005,1660.6
04/2005,1575
05/2005,1506.8
06/2005,1530.7
07/2005,1532.8
08/2005,1731.3
09/2005,1809.7
10/2005,1997
11/2005,1861.1
12/2005,1941.8
01/2006,1695.1
02/2006,1686.6
03/2006,1861.9
04/2006,1927.5
05/2006,2148.8
06/2006,2970.6
07/2006,2015.2
08/2006,2184.9
09/2006,2008.4
10/2006,1874.2
11/2006,1973
12/2006,1860.6
01/2007,1819
02/2007,1517
03/2007,1717.1
04/2007,1816.9
05/2007,1960.9
06/2007,1942.9
07/2007,2123.3
08/2007,2069.3
09/2007,1993.9
10/2007,2180.3
11/2007,2058.4
12/2007,2107.2
01/2008,2047.9
02/2008,1805.1
03/2008,1960.2
04/2008,1903.5
05/2008,1992
