,进口：中国香港特别行政区
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36416301 (SJCE)
SR码,SR739129
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,328.9538885191347
方差,32517.029277809226
标准差,180.32478830656984
偏度,0.47739811683269745
峰度,1.301810719049799
变异系数,0.5481764909919302
最小,36.757
最大,1323.5
中位数,337.4
总和 SUM,197701.28700000004
减 SUBTRACT,-1286.743
参照期间,601
01/1976,41.128
02/1976,38.843
03/1976,49.619
04/1976,36.757
05/1976,38.77
06/1976,42.188
07/1976,48.945
08/1976,46.156
09/1976,47.664
10/1976,49.373
11/1976,48.574
12/1976,48.712
01/1977,50.764
02/1977,43.933
03/1977,36.774
04/1977,53.728
05/1977,46.821
06/1977,51.594
07/1977,49.492
08/1977,77.273
09/1977,64.467
10/1977,56.983
11/1977,56.371
12/1977,63.035
01/1978,59.502
02/1978,52.611
03/1978,44.732
04/1978,55.802
05/1978,59.248
06/1978,59.463
07/1978,55.553
08/1978,64.515
09/1978,64.744
10/1978,68.951
11/1978,76.38
12/1978,69.947
01/1979,60.225
02/1979,72.03
03/1979,59.471
04/1979,63.01
05/1979,64.687
06/1979,71.024
07/1979,67.427
08/1979,69.805
09/1979,72.931
10/1979,78.082
11/1979,80.377
12/1979,77.389
01/1980,72.68
02/1980,76.983
03/1980,63.599
04/1980,88.65
05/1980,106.684
06/1980,82.386
07/1980,91.065
08/1980,77.882
09/1980,107.895
10/1980,95.414
11/1980,89.701
12/1980,102.202
01/1981,93.14
02/1981,76.833
03/1981,84.221
04/1981,90.466
05/1981,91.64
06/1981,97.336
07/1981,83.847
08/1981,107.37
09/1981,84.657
10/1981,93.999
11/1981,90.726
12/1981,98.752
01/1982,102.695
02/1982,76.549
03/1982,122.725
04/1982,88.142
05/1982,102.555
06/1982,94.421
07/1982,105.855
08/1982,96.149
09/1982,102.314
10/1982,117.865
11/1982,113.055
12/1982,138.962
01/1983,97.043
02/1983,100.645
03/1983,86.564
04/1983,106.602
05/1983,111.115
06/1983,104.202
07/1983,103.135
08/1983,114.088
09/1983,108.625
10/1983,91.388
11/1983,121.706
12/1983,123.805
01/1984,116.277
02/1984,90.716
03/1984,86.809
04/1984,111.325
05/1984,120.686
06/1984,106.618
07/1984,117.77
08/1984,103.605
09/1984,95.719
10/1984,113.307
11/1984,122.11
12/1984,96.329
01/1985,92.85
02/1985,96.682
03/1985,64.619
04/1985,81.082
05/1985,94.333
06/1985,100.534
07/1985,80.068
08/1985,93.322
09/1985,85.56
10/1985,94.385
11/1985,97.367
12/1985,101.688
01/1986,90.797
02/1986,97.983
03/1986,82.595
04/1986,115.016
05/1986,108.311
06/1986,116.344
07/1986,107.673
08/1986,107.223
09/1986,116.992
10/1986,115.431
11/1986,121.215
12/1986,130.489
01/1987,119.974
02/1987,111.178
03/1987,105.16
04/1987,142.91
05/1987,145.238
06/1987,133.149
07/1987,173.329
08/1987,148.352
09/1987,201.256
10/1987,150.923
11/1987,174.05
12/1987,196.266
01/1988,183.679
02/1988,174.117
03/1988,164.864
04/1988,169.396
05/1988,217.588
06/1988,210.116
07/1988,200.414
08/1988,226.114
09/1988,204.648
10/1988,219.65
11/1988,242.074
12/1988,218.841
01/1989,207.493
02/1989,131.205
03/1989,220.043
04/1989,222.319
05/1989,227.537
06/1989,224.873
07/1989,236.818
08/1989,262.178
09/1989,243.604
10/1989,245.571
11/1989,273.974
12/1989,243.233
01/1990,267.554
02/1990,194.711
03/1990,268.762
04/1990,252.43
05/1990,297.326
06/1990,275.691
07/1990,329.997
08/1990,279.56
09/1990,274.701
10/1990,309.521
11/1990,338.321
12/1990,276.736
01/1991,313.854
02/1991,218.098
03/1991,239.378
04/1991,283.987
05/1991,320.085
06/1991,264.888
07/1991,326.162
08/1991,313.615
09/1991,298.751
10/1991,287.722
11/1991,291.882
12/1991,275.192
01/1992,302.878
02/1992,188.369
03/1992,272.785
04/1992,276.099
05/1992,291.146
06/1992,301.42
07/1992,325.533
08/1992,305.975
09/1992,284.497
10/1992,320.866
11/1992,340.747
12/1992,376.724
01/1993,295.088
02/1993,278.168
03/1993,382.981
04/1993,385.485
05/1993,406.241
06/1993,355.852
07/1993,369.242
08/1993,351.706
09/1993,377.142
10/1993,349.491
11/1993,385.577
12/1993,401.875
01/1994,408.236
02/1994,282.48
03/1994,409.205
04/1994,400.027
05/1994,444.022
06/1994,457.878
07/1994,449.371
08/1994,483.157
09/1994,487.9
10/1994,497.099
11/1994,509.244
12/1994,457.395
01/1995,479.054
02/1995,327.699
03/1995,470.242
04/1995,441.292
05/1995,471.196
06/1995,465.999
07/1995,527.69
08/1995,514.849
09/1995,516.896
10/1995,556.904
11/1995,526.888
12/1995,522.041
01/1996,512.359
02/1996,399.905
03/1996,442.728
04/1996,477.832
05/1996,527.277
06/1996,506.297
07/1996,528.387
08/1996,496.58
09/1996,521.192
10/1996,509.433
11/1996,464.817
12/1996,534.702
01/1997,477.882
02/1997,275.476
03/1997,470.922
04/1997,465.117
05/1997,489.096
06/1997,516.606
07/1997,523.683
08/1997,506.625
09/1997,540.145
10/1997,528.478
11/1997,496.18
12/1997,489.996
01/1998,386.372
02/1998,322.75
03/1998,375.613
04/1998,376.356
05/1998,392.467
06/1998,374.333
07/1998,382.697
08/1998,414.288
09/1998,443.225
10/1998,405.884
11/1998,442.16
12/1998,443.071
01/1999,417.357
02/1999,311.601
03/1999,454.501
04/1999,441.324
05/1999,429.849
06/1999,447.354
07/1999,498.672
08/1999,454.043
09/1999,475.606
10/1999,464.877
11/1999,485.801
12/1999,519.249
01/2000,481.842
02/2000,359.838
03/2000,479.354
04/2000,423.687
05/2000,496.856
06/2000,502.733
07/2000,518.422
08/2000,554.508
09/2000,597.113
10/2000,526.27
11/2000,560.503
12/2000,557.662
01/2001,449.928
02/2001,372.794
03/2001,451.459
04/2001,394.23
05/2001,407.517
06/2001,396.333
07/2001,424.311
08/2001,432.58
09/2001,404.609
10/2001,467.891
11/2001,397.115
12/2001,386.826
01/2002,436.52
02/2002,326.45
03/2002,409.714
04/2002,449.029
05/2002,450.244
06/2002,426.518
07/2002,455.692
08/2002,468.825
09/2002,424.634
10/2002,477.162
11/2002,493.852
12/2002,464.659
01/2003,427
02/2003,270.6
03/2003,431.1
04/2003,430.1
05/2003,406.8
06/2003,492.3
07/2003,522.8
08/2003,436.2
09/2003,499.4
10/2003,488.4
11/2003,510.3
12/2003,616.5
01/2004,492
02/2004,471.1
03/2004,624.3
04/2004,534.1
05/2004,517.5
06/2004,522.5
07/2004,571.3
08/2004,518.2
09/2004,518.3
10/2004,500.7
11/2004,529.1
12/2004,559.4
01/2005,555.4
02/2005,380.9
03/2005,586.3
04/2005,572.5
05/2005,542.8
06/2005,607.4
07/2005,607.9
08/2005,630.8
09/2005,577.2
10/2005,917.3
11/2005,550.7
12/2005,583.1
01/2006,512.5
02/2006,387.3
03/2006,563
04/2006,499.9
05/2006,572.8
06/2006,550.4
07/2006,558.4
08/2006,609.6
09/2006,663.1
10/2006,598.2
11/2006,565
12/2006,564.6
01/2007,538.8
02/2007,393.9
03/2007,496.4
04/2007,437.4
05/2007,485.9
06/2007,505.7
07/2007,485.5
08/2007,519.8
09/2007,495.9
10/2007,474.2
11/2007,523.5
12/2007,540.1
01/2008,520.8
02/2008,325.3
03/2008,440.2
04/2008,430.7
05/2008,459.7
06/2008,456.3
07/2008,414.8
08/2008,422.1
09/2008,525.6
10/2008,454.7
11/2008,362.3
