,进口：日本
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36416501 (SJCH)
SR码,SR739131
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,[COVID-19-IMPACT]
建议,
平均 MEAN,2061.604600665556
方差,719573.511282827
标准差,848.2767893104391
偏度,-0.5704530499058651
峰度,-0.6845367394634119
变异系数,0.41146434628472717
最小,233.164
最大,3842.9
中位数,2262.726
总和 SUM,1239024.3650000005
减 SUBTRACT,-3609.736
参照期间,601
01/1976,302.616
02/1976,247.534
03/1976,315.782
04/1976,319.166
05/1976,234.967
06/1976,252.986
07/1976,349.474
08/1976,277.683
09/1976,345.714
10/1976,304.862
11/1976,319.322
12/1976,320.719
01/1977,419.247
02/1977,233.164
03/1977,308.742
04/1977,363.951
05/1977,326.422
06/1977,317.852
07/1977,356.915
08/1977,426.383
09/1977,362.805
10/1977,452.002
11/1977,511.736
12/1977,394.778
01/1978,462.804
02/1978,412.211
03/1978,533.143
04/1978,383.892
05/1978,446.621
06/1978,505.805
07/1978,482.418
08/1978,488.66
09/1978,487.524
10/1978,509.616
11/1978,490.572
12/1978,464.9
01/1979,507.741
02/1979,440.65
03/1979,521.336
04/1979,503.047
05/1979,492.993
06/1979,559.564
07/1979,487.521
08/1979,593.347
09/1979,604.718
10/1979,552.793
11/1979,657.167
12/1979,609.664
01/1980,709.461
02/1980,487.241
03/1980,740.434
04/1980,710.28
05/1980,809.098
06/1980,706.286
07/1980,851.27
08/1980,741.81
09/1980,846.171
10/1980,902.855
11/1980,795.253
12/1980,862.226
01/1981,939.893
02/1981,597.795
03/1981,930.236
04/1981,949.854
05/1981,895.116
06/1981,883.193
07/1981,1020.786
08/1981,844.822
09/1981,962.274
10/1981,1075.736
11/1981,916.728
12/1981,940.953
01/1982,896.747
02/1982,774.093
03/1982,913.364
04/1982,981.959
05/1982,909.605
06/1982,897.645
07/1982,934.988
08/1982,868.18
09/1982,940.055
10/1982,841.743
11/1982,916.296
12/1982,916.297
01/1983,959.705
02/1983,684.652
03/1983,918.596
04/1983,884.174
05/1983,954.562
06/1983,883.592
07/1983,993.174
08/1983,929.189
09/1983,828.708
10/1983,887.213
11/1983,921.049
12/1983,879.407
01/1984,1034.579
02/1984,711.493
03/1984,1001.299
04/1984,960.431
05/1984,1034.919
06/1984,870.58
07/1984,908.818
08/1984,982.245
09/1984,779.264
10/1984,1038.089
11/1984,979.391
12/1984,916.797
01/1985,1062.722
02/1985,909.19
03/1985,759.11
04/1985,849.678
05/1985,799.849
06/1985,845.377
07/1985,730.734
08/1985,837.802
09/1985,748.866
10/1985,758.22
11/1985,834.997
12/1985,733.132
01/1986,797.779
02/1986,724.625
03/1986,816.25
04/1986,876.736
05/1986,883.506
06/1986,930.7
07/1986,926.408
08/1986,1032.3
09/1986,981.94
10/1986,1051.139
11/1986,990.968
12/1986,1039.81
01/1987,1031.553
02/1987,918.568
03/1987,986.118
04/1987,1181.475
05/1987,1149.295
06/1987,1145.143
07/1987,1346.778
08/1987,1156.852
09/1987,1202.832
10/1987,1241.838
11/1987,1381.124
12/1987,1287.682
01/1988,1417.15
02/1988,1238.573
03/1988,1427.725
04/1988,1493.107
05/1988,1473.813
06/1988,1667.586
07/1988,1598.671
08/1988,1897.011
09/1988,1638.698
10/1988,1967.069
11/1988,1740.512
12/1988,1804.59
01/1989,1343.999
02/1989,1554.487
03/1989,1685.492
04/1989,2083.901
05/1989,1735.538
06/1989,1806.688
07/1989,1708.835
08/1989,1661.826
09/1989,1710.209
10/1989,1727.469
11/1989,1682.699
12/1989,1968.209
01/1990,1553.843
02/1990,1667.003
03/1990,1886.125
04/1990,1701.14
05/1990,1786.353
06/1990,1957.161
07/1990,2008.397
08/1990,1816.365
09/1990,1763.871
10/1990,2100.076
11/1990,1872.042
12/1990,2033.87
01/1991,1703.794
02/1991,1823.349
03/1991,2008.937
04/1991,2013.76
05/1991,2225.94
06/1991,2221.945
07/1991,2275.369
08/1991,2228.109
09/1991,1792.255
10/1991,2112.204
11/1991,1893.309
12/1991,2070.673
01/1992,1606.51
02/1992,1814.906
03/1992,2073.068
04/1992,1998.406
05/1992,1829.066
06/1992,2091.692
07/1992,2155.04
08/1992,2103.429
09/1992,2199.323
10/1992,2198.469
11/1992,2162.811
12/1992,2520.354
01/1993,1797.59
02/1993,2248.762
03/1993,2600.782
04/1993,2644.212
05/1993,2513.37
06/1993,2538.729
07/1993,2938.677
08/1993,2289.922
09/1993,2644.446
10/1993,2643.238
11/1993,2466.329
12/1993,2784.879
01/1994,2273.428
02/1994,2383.985
03/1994,2858.8
04/1994,3202.599
05/1994,2666.951
06/1994,3141.826
07/1994,3010.976
08/1994,2890.336
09/1994,3049.091
10/1994,2977.564
11/1994,2918.975
12/1994,3047.56
01/1995,2278.482
02/1995,2707.963
03/1995,3260.576
04/1995,3204.973
05/1995,3104.283
06/1995,3403.361
07/1995,3287.404
08/1995,3247.35
09/1995,3195.619
10/1995,3248.455
11/1995,3070.914
12/1995,3279.045
01/1996,2805.306
02/1996,2934.715
03/1996,3223.321
04/1996,2922.446
05/1996,2603.443
06/1996,2770.641
07/1996,2872.253
08/1996,2572.296
09/1996,2668.361
10/1996,2888.779
11/1996,2581.952
12/1996,2773.23
01/1997,2421.123
02/1997,2298.862
03/1997,2830.417
04/1997,2991.864
05/1997,2789.095
06/1997,2763.168
07/1997,3123.656
08/1997,2921.82
09/1997,3079.695
10/1997,3278.861
11/1997,3111.088
12/1997,2953.851
01/1998,2088.128
02/1998,2863.762
03/1998,2864.565
04/1998,2593.714
05/1998,2078.259
06/1998,2358.869
07/1998,2396.949
08/1998,2025.876
09/1998,2298.141
10/1998,2320.39
11/1998,2218.57
12/1998,2327.227
01/1999,1840.36
02/1999,2038.191
03/1999,2487.598
04/1999,2655.01
05/1999,2311.461
06/1999,2875.657
07/1999,2890.185
08/1999,2617.139
09/1999,2788.703
10/1999,2948.039
11/1999,2668.77
12/1999,3203.618
01/2000,2613.696
02/2000,2944.849
03/2000,3346.359
04/2000,3195.439
05/2000,3163.981
06/2000,3533.675
07/2000,3572.44
08/2000,3459.059
09/2000,3699.294
10/2000,3590.709
11/2000,3467.329
12/2000,3368.19
01/2001,2597.507
02/2001,2645.231
03/2001,2921.241
04/2001,2821.344
05/2001,2299.445
06/2001,2545.74
07/2001,2332.394
08/2001,2229.882
09/2001,2107.671
10/2001,2222.984
11/2001,2055.784
12/2001,2014.883
01/2002,1739.554
02/2002,1972.653
03/2002,2268.647
04/2002,2476.311
05/2002,2213.047
06/2002,2262.726
07/2002,2445.911
08/2002,2139.969
09/2002,2097.843
10/2002,2281.101
11/2002,1994.673
12/2002,2187.413
01/2003,1902.4
02/2003,1943.5
03/2003,2221.2
04/2003,2232.2
05/2003,1948.6
06/2003,2079.5
07/2003,2406.9
08/2003,2105.6
09/2003,2322.4
10/2003,2564.8
11/2003,2364.4
12/2003,2737.9
01/2004,2229.5
02/2004,2415.7
03/2004,2786.4
04/2004,2851.2
05/2004,2618.5
06/2004,2921.7
07/2004,2909.1
08/2004,2834.5
09/2004,2760.9
10/2004,2574.4
11/2004,2623.6
12/2004,2741
01/2005,2348.9
02/2005,2420.1
03/2005,2832.9
04/2005,2701.2
05/2005,2381.8
06/2005,2807
07/2005,2760.6
08/2005,2689.5
09/2005,2747.9
10/2005,2864.3
11/2005,2740.1
12/2005,2761.8
01/2006,2153.5
02/2006,2589.3
03/2006,2800.9
04/2006,2550.4
05/2006,2490.6
06/2006,2830.3
