,进口：泰国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36416401 (SJCF)
SR码,SR739139
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,695.6048136439272
方差,212776.10306361207
标准差,461.27660146989035
偏度,0.15444643033326205
峰度,-0.621193898761986
变异系数,0.6631302607776561
最小,29.024
最大,2292.3
中位数,785.996
总和 SUM,418058.49299999967
减 SUBTRACT,-2263.2760000000003
参照期间,601
01/1976,39.659
02/1976,38.103
03/1976,43.986
04/1976,39.455
05/1976,29.965
06/1976,46.682
07/1976,36.031
08/1976,45.539
09/1976,43.435
10/1976,55.509
11/1976,56.378
12/1976,41.608
01/1977,66.418
02/1977,59.42
03/1977,52.755
04/1977,53.5
05/1977,53.434
06/1977,37.494
07/1977,46.837
08/1977,39.838
09/1977,35.61
10/1977,47.73
11/1977,29.024
12/1977,48.987
01/1978,48.945
02/1978,52.784
03/1978,69.539
04/1978,67.744
05/1978,64.48
06/1978,73.412
07/1978,58.285
08/1978,62.298
09/1978,74.787
10/1978,97.147
11/1978,71.102
12/1978,74.195
01/1979,68.419
02/1979,79.138
03/1979,102.288
04/1979,86.028
05/1979,95.48
06/1979,107.026
07/1979,73.625
08/1979,74.206
09/1979,101.829
10/1979,86.806
11/1979,111.208
12/1979,100.249
01/1980,98.833
02/1980,98.973
03/1980,95.994
04/1980,92.054
05/1980,113.616
06/1980,54.114
07/1980,57.517
08/1980,64.67
09/1980,109.347
10/1980,85.715
11/1980,78.963
12/1980,69.207
01/1981,98.938
02/1981,70.047
03/1981,80.356
04/1981,92.297
05/1981,82.942
06/1981,78.813
07/1981,76.683
08/1981,75.044
09/1981,86.051
10/1981,85.873
11/1981,87.088
12/1981,83.443
01/1982,116.869
02/1982,90.789
03/1982,123.134
04/1982,99.484
05/1982,84.512
06/1982,93.428
07/1982,72.382
08/1982,83.734
09/1982,88.863
10/1982,90.69
11/1982,101.265
12/1982,86.683
01/1983,82.112
02/1983,80.257
03/1983,82.979
04/1983,111.808
05/1983,87.671
06/1983,96.642
07/1983,83.869
08/1983,77.738
09/1983,88.365
10/1983,82.076
11/1983,84.155
12/1983,110.531
01/1984,109.553
02/1984,87.918
03/1984,115.626
04/1984,120.906
05/1984,103.049
06/1984,106.636
07/1984,110.364
08/1984,108.199
09/1984,115.784
10/1984,107.591
11/1984,127.871
12/1984,137.371
01/1985,103.069
02/1985,110.38
03/1985,78.814
04/1985,118.717
05/1985,89.876
06/1985,94.543
07/1985,88.681
08/1985,100.289
09/1985,97.705
10/1985,107.591
11/1985,89.507
12/1985,117.121
01/1986,107.282
02/1986,114.486
03/1986,117.864
04/1986,151.329
05/1986,122.351
06/1986,134.85
07/1986,139.577
08/1986,124.24
09/1986,144.634
10/1986,130.891
11/1986,165.983
12/1986,153.323
01/1987,175.764
02/1987,145.06
03/1987,157.571
04/1987,163.086
05/1987,157.789
06/1987,175.805
07/1987,174.436
08/1987,152.908
09/1987,203.664
10/1987,208.33
11/1987,203.108
12/1987,218.993
01/1988,221.96
02/1988,199.612
03/1988,196.151
04/1988,203.355
05/1988,170.95
06/1988,205.987
07/1988,204.284
08/1988,202.039
09/1988,185.571
10/1988,206.895
11/1988,184.555
12/1988,204.935
01/1989,170.366
02/1989,170.651
03/1989,199.043
04/1989,202.357
05/1989,200.406
06/1989,209.646
07/1989,189.354
08/1989,244.226
09/1989,210.901
10/1989,195.675
11/1989,220.135
12/1989,230.554
01/1990,279.357
02/1990,214.89
03/1990,280.888
04/1990,196.794
05/1990,235.591
06/1990,261.795
07/1990,245.046
08/1990,250.633
09/1990,241.751
10/1990,239.172
11/1990,259.407
12/1990,268.803
01/1991,261.349
02/1991,244.324
03/1991,276.811
04/1991,268.044
05/1991,297.171
06/1991,302.255
07/1991,298.883
08/1991,318.042
09/1991,320.64
10/1991,327.388
11/1991,355.771
12/1991,358.169
01/1992,315.471
02/1992,283.553
03/1992,349.759
04/1992,333.322
05/1992,344.566
06/1992,378.591
07/1992,348.446
08/1992,356.149
09/1992,403.521
10/1992,385.225
11/1992,391.391
12/1992,475.266
01/1993,346.874
02/1993,410.201
03/1993,446.204
04/1993,427.619
05/1993,481.864
06/1993,528.695
07/1993,496.157
08/1993,472.801
09/1993,501.809
10/1993,485.966
11/1993,533.746
12/1993,544.264
01/1994,521.081
02/1994,468.335
03/1994,661.123
04/1994,550.649
05/1994,637.997
06/1994,642.893
07/1994,620.512
08/1994,672.025
09/1994,658.777
10/1994,632.57
11/1994,701.194
12/1994,703.646
01/1995,607.354
02/1995,664.273
03/1995,786.416
04/1995,660.399
05/1995,807.552
06/1995,755.377
07/1995,747.68
08/1995,772.543
09/1995,844.906
10/1995,792.586
11/1995,816.267
12/1995,841.271
01/1996,843.925
02/1996,836.972
03/1996,929.225
04/1996,781.697
05/1996,881.647
06/1996,848.009
07/1996,785.996
08/1996,767.269
09/1996,792.847
10/1996,874.998
11/1996,833.957
12/1996,940.606
01/1997,882.72
02/1997,799.832
03/1997,944.789
04/1997,851.007
05/1997,842.181
06/1997,820.405
07/1997,820.055
08/1997,784.096
09/1997,840.066
10/1997,829.999
11/1997,787.864
12/1997,877.347
01/1998,654.061
02/1998,732.777
03/1998,737.775
04/1998,609.434
05/1998,687.047
06/1998,757.389
07/1998,681.748
08/1998,682.011
09/1998,697.533
10/1998,629.623
11/1998,595.061
12/1998,654.006
01/1999,618.441
02/1999,580.171
03/1999,755.522
04/1999,676.912
05/1999,747.633
06/1999,807.148
07/1999,761.187
08/1999,757.569
09/1999,764.544
10/1999,771.4
11/1999,886.117
12/1999,762.8
01/2000,725.061
02/2000,691.777
03/2000,760.406
04/2000,710.1
05/2000,795.196
06/2000,851.646
07/2000,838.448
08/2000,826.31
09/2000,952.427
10/2000,871.253
11/2000,987.979
12/2000,998.107
01/2001,699.364
02/2001,677.602
03/2001,777.245
04/2001,676.917
05/2001,754.348
06/2001,821.12
07/2001,757.018
08/2001,773.394
09/2001,859.324
10/2001,831.312
11/2001,812.199
12/2001,802.708
01/2002,705.736
02/2002,722.158
03/2002,862.84
04/2002,835.331
05/2002,843.793
06/2002,804.203
07/2002,824.196
08/2002,767.878
09/2002,791.603
10/2002,866.465
11/2002,839.566
12/2002,820.561
01/2003,695.4
02/2003,712.1
03/2003,870.7
04/2003,790
05/2003,765.2
06/2003,711.1
07/2003,767
08/2003,732
09/2003,805.8
10/2003,916
11/2003,882.1
12/2003,939.9
01/2004,804.4
02/2004,815.5
03/2004,900.2
04/2004,876.5
05/2004,877.8
06/2004,930.2
07/2004,1012.8
08/2004,1033.6
09/2004,1028.2
10/2004,1028.3
11/2004,999.8
12/2004,1053.2
01/2005,922.3
02/2005,841.9
03/2005,1123.1
04/2005,1018.6
05/2005,981.5
06/2005,980.1
07/2005,1003.4
08/2005,1224.7
09/2005,1178
10/2005,1118.3
11/2005,1121.7
12/2005,1099.8
01/2006,1009.4
02/2006,1180.2
03/2006,1349.7
04/2006,1043.6
05/2006,1097.5
06/2006,1024.3
07/2006,1242.6
08/2006,1463.2
09/2006,1235.8
10/2006,1212
11/2006,1077.9
12/2006,988.4
01/2007,908.4
02/2007,1012.9
03/2007,1043.2
04/2007,1029.4
05/2007,1074.9
06/2007,1155.1
07/2007,1127.6
08/2007,1199.1
09/2007,1028.5
10/2007,1081
11/2007,1110.9
12/2007,1068.7
01/2008,1275.2
02/2008,1026.9
03/2008,1295.8
04/2008,1215.4
05/2008,1340
06/2008,1516.8
07/2008,1703
