,进口：澳大利亚
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36417101 (SJCP)
SR码,SR739141
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,356.9899367720464
方差,76696.73444462274
标准差,276.9417528012393
偏度,1.2425999405724304
峰度,1.4608928857228118
变异系数,0.7757690743481059
最小,33.976
最大,1454.9
中位数,277.7
总和 SUM,214550.9520000001
减 SUBTRACT,-1420.924
参照期间,601
01/1976,46.192
02/1976,49.562
03/1976,38.087
04/1976,77.253
05/1976,33.976
06/1976,44.227
07/1976,51.455
08/1976,50.634
09/1976,57.896
10/1976,40.966
11/1976,43.647
12/1976,48.771
01/1977,63.43
02/1977,46.882
03/1977,55.08
04/1977,66.77
05/1977,41.644
06/1977,54.703
07/1977,53.618
08/1977,53.373
09/1977,52.489
10/1977,60.661
11/1977,42.409
12/1977,57.886
01/1978,56.842
02/1978,52.065
03/1978,48.796
04/1978,57.76
05/1978,40.529
06/1978,53.063
07/1978,65.763
08/1978,36.35
09/1978,46.711
10/1978,43.167
11/1978,59.25
12/1978,42.951
01/1979,53.334
02/1979,58.832
03/1979,38.643
04/1979,74.212
05/1979,75.917
06/1979,57.745
07/1979,72.564
08/1979,68.288
09/1979,83.06
10/1979,51.164
11/1979,104.402
12/1979,107.301
01/1980,86.951
02/1980,91.403
03/1980,67.847
04/1980,91.208
05/1980,87.012
06/1980,79.661
07/1980,92.273
08/1980,116.591
09/1980,88.59
10/1980,111.354
11/1980,127.428
12/1980,125.258
01/1981,121.742
02/1981,100.716
03/1981,75.46
04/1981,144.828
05/1981,86.201
06/1981,87.233
07/1981,112.891
08/1981,91.883
09/1981,74.527
10/1981,116.077
11/1981,90.962
12/1981,109.593
01/1982,141.168
02/1982,150.562
03/1982,146.993
04/1982,134.758
05/1982,121.237
06/1982,105.764
07/1982,132.44
08/1982,110.466
09/1982,118.968
10/1982,68.103
11/1982,90.527
12/1982,82.932
01/1983,77.355
02/1983,65.501
03/1983,93.908
04/1983,68.364
05/1983,107.012
06/1983,94.796
07/1983,84.637
08/1983,107.836
09/1983,94.201
10/1983,97.171
11/1983,80.194
12/1983,154.698
01/1984,177.407
02/1984,158.259
03/1984,146.669
04/1984,119.245
05/1984,223.882
06/1984,103.893
07/1984,145.781
08/1984,117.159
09/1984,83.274
10/1984,87.44
11/1984,74.341
12/1984,66.528
01/1985,91.044
02/1985,131.511
03/1985,229.69
04/1985,146.773
05/1985,175.406
06/1985,71.731
07/1985,97.973
08/1985,134.989
09/1985,141.695
10/1985,132.021
11/1985,87.502
12/1985,92.69
01/1986,68.113
02/1986,69.852
03/1986,100.659
04/1986,73.688
05/1986,55.359
06/1986,56.211
07/1986,74.916
08/1986,83.642
09/1986,54.155
10/1986,97.39
11/1986,144.886
12/1986,89.569
01/1987,87.574
02/1987,81.406
03/1987,124.538
04/1987,102.595
05/1987,106.443
06/1987,85.43
07/1987,100.843
08/1987,113.748
09/1987,99.872
10/1987,116.953
11/1987,117.534
12/1987,176.367
01/1988,133.872
02/1988,158.55
03/1988,121.991
04/1988,142.521
05/1988,160.936
06/1988,131.852
07/1988,185.016
08/1988,115.426
09/1988,111.321
10/1988,142.327
11/1988,203.959
12/1988,136.26
01/1989,118.956
02/1989,123.807
03/1989,131.776
04/1989,160.172
05/1989,128.25
06/1989,122.659
07/1989,126.467
08/1989,139.314
09/1989,134.817
10/1989,145.243
11/1989,153.691
12/1989,152.361
01/1990,172.807
02/1990,113.792
03/1990,176.169
04/1990,121.52
05/1990,125.712
06/1990,174.811
07/1990,199.258
08/1990,176.409
09/1990,207.99
10/1990,173.12
11/1990,258.381
12/1990,227.263
01/1991,177.802
02/1991,233.56
03/1991,194.076
04/1991,169.748
05/1991,202.397
06/1991,169.676
07/1991,193.388
08/1991,166.117
09/1991,172.045
10/1991,171.238
11/1991,133.198
12/1991,165.996
01/1992,146.241
02/1992,111.088
03/1992,162.145
04/1992,180.869
05/1992,142.717
06/1992,162.199
07/1992,182.683
08/1992,162.61
09/1992,150.958
10/1992,219.334
11/1992,177.815
12/1992,198.959
01/1993,191.581
02/1993,181.679
03/1993,219.27
04/1993,164.923
05/1993,194.268
06/1993,167.827
07/1993,221.162
08/1993,182.794
09/1993,267.236
10/1993,205.516
11/1993,171.205
12/1993,216.989
01/1994,236.263
02/1994,145.134
03/1994,175.775
04/1994,179.855
05/1994,227.076
06/1994,227.881
07/1994,209.597
08/1994,200.603
09/1994,178.945
10/1994,202.839
11/1994,203.873
12/1994,205.083
01/1995,172.231
02/1995,180.829
03/1995,274.381
04/1995,183.093
05/1995,219.958
06/1995,159.145
07/1995,245.914
08/1995,211.653
09/1995,242.206
10/1995,213.583
11/1995,212.338
12/1995,240.333
01/1996,209.886
02/1996,266.057
03/1996,212.97
04/1996,243.218
05/1996,216.379
06/1996,224.099
07/1996,247.303
08/1996,220.901
09/1996,211.515
10/1996,243.945
11/1996,208.16
12/1996,292.843
01/1997,214.036
02/1997,151.289
03/1997,185.14
04/1997,230.827
05/1997,231.385
06/1997,218.227
07/1997,246.623
08/1997,214.191
09/1997,219.79
10/1997,269.008
11/1997,226.573
12/1997,261.233
01/1998,151.127
02/1998,169.026
03/1998,171.074
04/1998,187.38
05/1998,171.745
06/1998,180.392
07/1998,192.341
08/1998,186.38
09/1998,186.56
10/1998,191.056
11/1998,165.98
12/1998,214.084
01/1999,166.381
02/1999,148.183
03/1999,182.955
04/1999,208.493
05/1999,188.665
06/1999,187.211
07/1999,172.63
08/1999,226.055
09/1999,228.316
10/1999,221.801
11/1999,230.762
12/1999,302.565
01/2000,224
02/2000,236.675
03/2000,244.27
04/2000,326.47
05/2000,283.58
06/2000,375.838
07/2000,328.831
08/2000,411.595
09/2000,369.042
10/2000,414.693
11/2000,422.363
12/2000,328.134
01/2001,232.186
02/2001,494.583
03/2001,372.126
04/2001,340.622
05/2001,409.92
06/2001,431.664
07/2001,255.39
08/2001,452.376
09/2001,293.381
10/2001,476.166
11/2001,259.412
12/2001,287.764
01/2002,441.617
02/2002,330.839
03/2002,382.375
04/2002,347.652
05/2002,406.164
06/2002,327.036
07/2002,362.943
08/2002,462.31
09/2002,474.399
10/2002,356.756
11/2002,426.865
12/2002,285.836
01/2003,394.6
02/2003,463.3
03/2003,437.7
04/2003,395.1
05/2003,319.2
06/2003,277.7
07/2003,259.1
08/2003,257.1
09/2003,328.8
10/2003,268.5
11/2003,298.4
12/2003,297.6
01/2004,245.5
02/2004,295.8
03/2004,272.5
04/2004,357.5
05/2004,336.9
06/2004,327.9
07/2004,417.8
08/2004,402.5
09/2004,420.6
10/2004,264.1
11/2004,356.9
12/2004,377.1
01/2005,304.8
02/2005,236.9
03/2005,469.9
04/2005,293.3
05/2005,477.7
06/2005,361.7
07/2005,441.9
08/2005,407.5
09/2005,453.1
10/2005,548.6
11/2005,542.8
12/2005,518
01/2006,328.1
02/2006,556.3
03/2006,401.2
04/2006,364.7
05/2006,442.1
06/2006,856.9
07/2006,574.2
08/2006,563.9
09/2006,487.9
10/2006,439
11/2006,407.1
12/2006,558.1
01/2007,370.2
02/2007,301.3
03/2007,388.3
04/2007,357.5
05/2007,442.5
06/2007,426.4
07/2007,437.2
08/2007,470
09/2007,322.8
10/2007,510.9
11/2007,452.1
12/2007,355.6
01/2008,637.5
02/2008,362.4
03/2008,457.1
04/2008,652.3
05/2008,673.9
06/2008,602
07/2008,640.8
08/2008,568.4
09/2008,675.2
10/2008,603.8
11/2008,506.3
