,进口：美国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36417201 (SJCQ)
SR码,SR739103
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,[COVID-19-IMPACT]
建议,
平均 MEAN,2742.5805507487503
方差,2938302.7628167835
标准差,1714.147824085421
偏度,0.28645638304016247
峰度,-0.7775833868680433
变异系数,0.6250127543628363
最小,200.794
最大,7258.3
中位数,2712.774
总和 SUM,1648290.9109999998
减 SUBTRACT,-7057.506
参照期间,601
01/1976,230.353
02/1976,236.759
03/1976,268.103
04/1976,315.356
05/1976,200.794
06/1976,225.693
07/1976,254.827
08/1976,270.505
09/1976,232.313
10/1976,245.697
11/1976,225.079
12/1976,255.04
01/1977,220.221
02/1977,221.898
03/1977,261.581
04/1977,265.976
05/1977,222.505
06/1977,324.511
07/1977,249.358
08/1977,273.014
09/1977,360.67
10/1977,295.573
11/1977,253.024
12/1977,278.869
01/1978,244.828
02/1978,243.762
03/1978,268.476
04/1978,348.306
05/1978,306.268
06/1978,359.914
07/1978,305.811
08/1978,279.137
09/1978,287.642
10/1978,394.405
11/1978,442.603
12/1978,290.656
01/1979,287.016
02/1979,343.205
03/1979,379.211
04/1979,523.126
05/1979,394.587
06/1979,421.422
07/1979,466.129
08/1979,722.874
09/1979,484.564
10/1979,583.023
11/1979,475.709
12/1979,408.615
01/1980,522.595
02/1980,430.276
03/1980,429.707
04/1980,630.854
05/1980,571.844
06/1980,740.565
07/1980,533.588
08/1980,504.973
09/1980,727.931
10/1980,769.829
11/1980,672.691
12/1980,702.321
01/1981,679.331
02/1981,476.715
03/1981,692.91
04/1981,642.822
05/1981,658.411
06/1981,560.866
07/1981,607.032
08/1981,545.809
09/1981,617.09
10/1981,700.345
11/1981,571.411
12/1981,603.7
01/1982,615.76
02/1982,509.979
03/1982,724.859
04/1982,623.924
05/1982,623.942
06/1982,624.797
07/1982,697.689
08/1982,737.852
09/1982,660.197
10/1982,668.543
11/1982,667.785
12/1982,620.048
01/1983,605.073
02/1983,484.86
03/1983,719.587
04/1983,1113.45
05/1983,804.458
06/1983,1181.152
07/1983,689.003
08/1983,669.401
09/1983,622.267
10/1983,576.664
11/1983,814.348
12/1983,725.281
01/1984,695.164
02/1984,701.936
03/1984,628.675
04/1984,622.062
05/1984,671.086
06/1984,801.671
07/1984,766.125
08/1984,687.945
09/1984,649.421
10/1984,718.942
11/1984,1129.594
12/1984,850.256
01/1985,618.432
02/1985,724.351
03/1985,883.231
04/1985,993.013
05/1985,604.392
06/1985,632.003
07/1985,638.103
08/1985,672.249
09/1985,879.335
10/1985,678.331
11/1985,677.616
12/1985,774.307
01/1986,557.579
02/1986,589.156
03/1986,856.475
04/1986,683.468
05/1986,689.442
06/1986,631.275
07/1986,708.08
08/1986,828.237
09/1986,660.281
10/1986,733.39
11/1986,676.632
12/1986,700.386
01/1987,678.401
02/1987,673.467
03/1987,939.108
04/1987,819.229
05/1987,775.863
06/1987,824.497
07/1987,835.253
08/1987,838.609
09/1987,862.862
10/1987,927.076
11/1987,948.553
12/1987,933.723
01/1988,913.67
02/1988,948.374
03/1988,994.55
04/1988,1008.634
05/1988,1047.15
06/1988,1214.392
07/1988,1139.522
08/1988,1475.709
09/1988,1057.197
10/1988,1411.814
11/1988,1257.278
12/1988,1250.15
01/1989,1163.622
02/1989,1092.409
03/1989,1675.602
04/1989,1304.583
05/1989,1319.97
06/1989,1367.939
07/1989,1459.718
08/1989,1353.575
09/1989,1339.421
10/1989,1798.383
11/1989,1434.112
12/1989,1295.927
01/1990,1336.144
02/1990,1358.515
03/1990,1490.366
04/1990,1319.811
05/1990,1453.613
06/1990,1606.33
07/1990,1484.057
08/1990,1506.577
09/1990,1715.314
10/1990,1535.783
11/1990,1389.694
12/1990,1384.259
01/1991,1534.771
02/1991,1467.284
03/1991,1423.432
04/1991,1376.791
05/1991,1778.359
06/1991,1870.923
07/1991,1475.576
08/1991,1377.845
09/1991,1436.553
10/1991,1474.822
11/1991,1399.686
12/1991,1413.55
01/1992,1476.16
02/1992,1320.833
03/1992,1461.28
04/1992,1430.51
05/1992,1550.681
06/1992,2105.608
07/1992,1581.527
08/1992,1466.416
09/1992,1572.667
10/1992,1778.102
11/1992,1637.104
12/1992,1959.657
01/1993,1842.585
02/1993,1812.855
03/1993,1840.441
04/1993,1749.603
05/1993,1695.391
06/1993,2102.023
07/1993,1778.967
08/1993,1980.57
09/1993,1817.32
10/1993,1951.784
11/1993,1753.778
12/1993,2034.478
01/1994,2000.978
02/1994,1584.189
03/1994,2098.458
04/1994,1952.4
05/1994,2160.915
06/1994,1935.346
07/1994,2038.74
08/1994,1934.637
09/1994,2172.422
10/1994,2099.911
11/1994,1811.206
12/1994,2112.723
01/1995,1771.117
02/1995,1911.796
03/1995,2341.369
04/1995,2002.233
05/1995,2056.666
06/1995,2094.509
07/1995,2124.4
08/1995,2478.47
09/1995,2175.467
10/1995,2678.554
11/1995,2521.175
12/1995,2314.577
01/1996,2521.951
02/1996,2408.903
03/1996,2767.268
04/1996,2614.288
05/1996,2418.884
06/1996,2605.601
07/1996,2655.647
08/1996,2408.595
09/1996,2295.321
10/1996,2774.261
11/1996,2476.977
12/1996,2308.614
01/1997,2746.047
02/1997,1957.794
03/1997,2860.716
04/1997,2637.965
05/1997,2656.476
06/1997,2472.106
07/1997,2885.465
08/1997,3081.461
09/1997,3079.937
10/1997,2858.243
11/1997,2825.145
12/1997,2955.863
01/1998,2644.221
02/1998,2819.435
03/1998,2787.443
04/1998,2322.467
05/1998,2277.114
06/1998,2915.306
07/1998,2969.032
08/1998,2652.337
09/1998,2395.379
10/1998,2413.603
11/1998,2183.78
12/1998,2873.204
01/1999,2716.703
02/1999,2045.452
03/1999,2711.764
04/1999,2466.598
05/1999,2567.06
06/1999,2632.257
07/1999,2483.165
08/1999,3336.102
09/1999,2740.724
10/1999,2686.237
11/1999,2885.079
12/1999,2773.053
01/2000,2370.781
02/2000,2368.586
03/2000,3081.579
04/2000,2541.093
05/2000,2611.014
06/2000,2875.492
07/2000,3198.231
08/2000,3035.057
09/2000,3310.12
10/2000,3335.527
11/2000,2908.185
12/2000,3082.115
01/2001,2957.282
02/2001,3207.389
03/2001,3208.204
04/2001,2759.286
05/2001,2712.774
06/2001,3016.544
07/2001,2863.825
08/2001,2596.426
09/2001,2631.161
10/2001,3359.914
11/2001,2605.3
12/2001,2218.86
01/2002,2288.452
02/2002,2480.935
03/2002,2476.951
04/2002,2668.576
05/2002,2281.013
06/2002,2964.703
07/2002,2485.933
08/2002,2513.984
09/2002,2109.548
10/2002,2793.437
11/2002,2367.371
12/2002,2084.241
01/2003,2129.9
02/2003,2586.7
03/2003,3243.2
04/2003,2544.3
05/2003,2240.3
06/2003,2478.8
07/2003,2335.2
08/2003,2827.8
09/2003,2741.4
10/2003,3206.2
11/2003,2341.8
12/2003,2384.6
01/2004,2297.1
02/2004,2329.8
03/2004,3473.1
04/2004,2989.8
05/2004,3037.6
06/2004,3051.4
07/2004,3915.6
08/2004,2984.2
09/2004,2794.8
10/2004,2735.2
11/2004,2446.3
12/2004,2562.9
01/2005,2432.7
02/2005,2626.9
03/2005,3241.6
04/2005,3312.1
05/2005,2966.6
06/2005,3039.2
07/2005,3236.7
08/2005,3761.6
09/2005,3291.8
10/2005,4154.9
11/2005,3409.6
12/2005,3397.5
01/2006,3082.7
02/2006,3842.8
03/2006,3650.5
04/2006,3484.8
05/2006,3694.7
06/2006,3860.6
07/2006,3922.3
08/2006,3759.2
