,进口：英国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36416101 (SJCC)
SR码,SR739126
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,470.1617953410978
方差,95114.63470990298
标准差,308.4066061385569
偏度,0.8878970088378743
峰度,0.503520751841628
变异系数,0.6559584576939327
最小,59.362
最大,1687.9
中位数,409.348
总和 SUM,282567.23900000006
减 SUBTRACT,-1628.538
参照期间,601
01/1976,76.18
02/1976,77.056
03/1976,82.456
04/1976,75.699
05/1976,60.505
06/1976,71.888
07/1976,59.362
08/1976,84.887
09/1976,66.857
10/1976,62.929
11/1976,65.766
12/1976,67.617
01/1977,90.462
02/1977,60.405
03/1977,62.557
04/1977,85.175
05/1977,68.198
06/1977,77.539
07/1977,67.418
08/1977,89.127
09/1977,82.279
10/1977,94.762
11/1977,76.262
12/1977,102.842
01/1978,87.97
02/1978,71.375
03/1978,96.726
04/1978,91.983
05/1978,82.563
06/1978,80.747
07/1978,115.762
08/1978,94.74
09/1978,85.444
10/1978,95.57
11/1978,97.823
12/1978,116.127
01/1979,94.061
02/1979,66.315
03/1979,80.701
04/1979,125.451
05/1979,108.197
06/1979,130.04
07/1979,125.153
08/1979,134.388
09/1979,113.6
10/1979,119.281
11/1979,124.665
12/1979,125.425
01/1980,144.454
02/1980,106.461
03/1980,173.17
04/1980,156.025
05/1980,137.442
06/1980,125.853
07/1980,171.123
08/1980,141.76
09/1980,152.079
10/1980,139.143
11/1980,167.298
12/1980,156.349
01/1981,168.524
02/1981,89.668
03/1981,146.437
04/1981,113.409
05/1981,168.608
06/1981,175.963
07/1981,123.639
08/1981,215.335
09/1981,119.549
10/1981,128.375
11/1981,137.782
12/1981,155.584
01/1982,126.92
02/1982,116.92
03/1982,175.968
04/1982,142.785
05/1982,162.412
06/1982,140.287
07/1982,145.65
08/1982,147.078
09/1982,139.894
10/1982,135.772
11/1982,132.254
12/1982,142.414
01/1983,120.573
02/1983,105.547
03/1983,152.955
04/1983,184.565
05/1983,159.291
06/1983,123.67
07/1983,139.301
08/1983,144.574
09/1983,131.352
10/1983,120.217
11/1983,127.301
12/1983,134.814
01/1984,139.498
02/1984,101.069
03/1984,131.483
04/1984,112.048
05/1984,143.507
06/1984,123.971
07/1984,135.007
08/1984,123.105
09/1984,147.726
10/1984,113.863
11/1984,197.791
12/1984,126.887
01/1985,157.624
02/1985,135.983
03/1985,109.859
04/1985,144.529
05/1985,140.151
06/1985,147
07/1985,129.389
08/1985,152.898
09/1985,138.045
10/1985,121.737
11/1985,134.553
12/1985,180.084
01/1986,129.03
02/1986,138.442
03/1986,140.987
04/1986,155.637
05/1986,141.426
06/1986,141.224
07/1986,167.452
08/1986,176.946
09/1986,158.06
10/1986,171.66
11/1986,163.659
12/1986,201.885
01/1987,166.652
02/1987,171.694
03/1987,149.483
04/1987,164.45
05/1987,183.625
06/1987,178.298
07/1987,196.899
08/1987,182.508
09/1987,196.012
10/1987,176.365
11/1987,211.962
12/1987,196.882
01/1988,220.279
02/1988,178.995
03/1988,205.548
04/1988,206.638
05/1988,206.633
06/1988,221.975
07/1988,206.91
08/1988,240.716
09/1988,199.179
10/1988,227.717
11/1988,232.137
12/1988,215.058
01/1989,201.031
02/1989,188.866
03/1989,230.029
04/1989,219.103
05/1989,222.431
06/1989,205.028
07/1989,209.921
08/1989,238.696
09/1989,235.511
10/1989,249.007
11/1989,272.418
12/1989,243.484
01/1990,240.551
02/1990,274.945
03/1990,302.855
04/1990,226.784
05/1990,271.221
06/1990,298.082
07/1990,295.988
08/1990,296.982
09/1990,268.037
10/1990,308.466
11/1990,301.23
12/1990,290.529
01/1991,256.006
02/1991,270.719
03/1991,296.223
04/1991,301.319
05/1991,301.459
06/1991,244.096
07/1991,262.105
08/1991,251.846
09/1991,267.757
10/1991,259.879
11/1991,300.304
12/1991,273.82
01/1992,245.574
02/1992,241.418
03/1992,281.567
04/1992,262.605
05/1992,262.571
06/1992,259.778
07/1992,294.593
08/1992,263.342
09/1992,260.36
10/1992,294.164
11/1992,272.578
12/1992,342.188
01/1993,235.101
02/1993,271.629
03/1993,329.679
04/1993,332.657
05/1993,316.536
06/1993,316.024
07/1993,323.492
08/1993,275.828
09/1993,274.196
10/1993,288.221
11/1993,327.394
12/1993,302.126
01/1994,296.377
02/1994,274.803
03/1994,332.962
04/1994,376.653
05/1994,361.849
06/1994,417.366
07/1994,397.09
08/1994,353.253
09/1994,337.963
10/1994,376.186
11/1994,408.512
12/1994,392.679
01/1995,318.93
02/1995,381.351
03/1995,375.71
04/1995,343.102
05/1995,392.099
06/1995,382.664
07/1995,426.973
08/1995,377.252
09/1995,397.077
10/1995,419.404
11/1995,458.005
12/1995,414.197
01/1996,430.163
02/1996,386.347
03/1996,427.432
04/1996,425.129
05/1996,418.244
06/1996,350.901
07/1996,467.122
08/1996,409.421
09/1996,412.16
10/1996,464.594
11/1996,428.578
12/1996,446.465
01/1997,420.258
02/1997,394.693
03/1997,461.574
04/1997,505.107
05/1997,453.205
06/1997,502.973
07/1997,481.232
08/1997,435.183
09/1997,449.456
10/1997,438.553
11/1997,463.573
12/1997,507.293
01/1998,385.342
02/1998,427.281
03/1998,399.021
04/1998,368.313
05/1998,355.923
06/1998,382.54
07/1998,409.348
08/1998,365.042
09/1998,406.282
10/1998,394.504
11/1998,356.027
12/1998,386.672
01/1999,316.969
02/1999,353.04
03/1999,465.573
04/1999,411.612
05/1999,372.789
06/1999,387.998
07/1999,365.259
08/1999,374.104
09/1999,392.09
10/1999,410.772
11/1999,382.255
12/1999,390.514
01/2000,455.599
02/2000,356.95
03/2000,410.176
04/2000,348.054
05/2000,375.256
06/2000,369.857
07/2000,406.855
08/2000,422.073
09/2000,397.673
10/2000,411.191
11/2000,414.524
12/2000,353.347
01/2001,338.845
02/2001,335.558
03/2001,372.227
04/2001,339.068
05/2001,361.787
06/2001,350.488
07/2001,365.913
08/2001,363.998
09/2001,347.164
10/2001,380.938
11/2001,406.964
12/2001,409.978
01/2002,373.287
02/2002,326.424
03/2002,372.714
04/2002,358.527
05/2002,361.469
06/2002,291.368
07/2002,359.694
08/2002,392.985
09/2002,306.547
10/2002,387.581
11/2002,345.333
12/2002,352.986
01/2003,334.6
02/2003,308.6
03/2003,355.7
04/2003,355.7
05/2003,331
06/2003,341.6
07/2003,407.2
08/2003,367.1
09/2003,397.1
10/2003,428.1
11/2003,413.4
12/2003,426.9
01/2004,381.2
02/2004,405.7
03/2004,501.8
04/2004,440.3
05/2004,419.5
06/2004,454.7
07/2004,494.1
08/2004,421.6
09/2004,427.5
10/2004,484.7
11/2004,445.4
12/2004,430.7
01/2005,399.9
02/2005,397.2
03/2005,456.6
04/2005,524.2
05/2005,540.7
06/2005,642.6
07/2005,555.7
08/2005,592.8
09/2005,647.3
10/2005,630.8
11/2005,567.8
12/2005,598.1
01/2006,579.7
02/2006,596.4
03/2006,604.4
04/2006,596.2
05/2006,710
06/2006,555.7
07/2006,659.3
08/2006,493.7
09/2006,504.9
10/2006,531
11/2006,547.7
12/2006,541.9
01/2007,530.4
02/2007,506.2
03/2007,623.8
04/2007,651.8
05/2007,679.2
06/2007,589.3
07/2007,585.3
08/2007,652
09/2007,494.3
10/2007,643.9
11/2007,727.6
12/2007,567.6
01/2008,654.3
02/2008,507.5
03/2008,618
04/2008,550.5
05/2008,496.5
06/2008,571.2
07/2008,579.2
08/2008,650
09/2008,597.8
10/2008,623.1
11/2008,541.6
12/2008,497.6
