,进口：越南
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,76183502 (SJCTBX)
SR码,SR2318465
贸易代码,
助记符,
函数说明,
首次观测日期,01/1993
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,293.58839042821154
方差,60936.91284033457
标准差,246.85403144436302
偏度,2.0212602741209738
峰度,6.758509736405725
变异系数,0.8408167335374386
最小,23.483
最大,1681.7
中位数,243.7
总和 SUM,116554.59100000001
减 SUBTRACT,-1658.217
参照期间,397
01/1993,48.714
02/1993,42.743
03/1993,48.076
04/1993,52.564
05/1993,31.284
06/1993,58.588
07/1993,35.347
08/1993,35.667
09/1993,40.017
10/1993,54.514
11/1993,55.203
12/1993,66.215
01/1994,47.307
02/1994,44.158
03/1994,62.799
04/1994,49.078
05/1994,43.385
06/1994,48.66
07/1994,68.112
08/1994,80.175
09/1994,46.411
10/1994,36.138
11/1994,78.296
12/1994,83.17
01/1995,64.985
02/1995,80.19
03/1995,77.134
04/1995,57.546
05/1995,45.75
06/1995,51.484
07/1995,62.402
08/1995,37.172
09/1995,34.763
10/1995,36.032
11/1995,56.149
12/1995,32.493
01/1996,45.901
02/1996,38.168
03/1996,51.003
04/1996,45.41
05/1996,69.357
06/1996,39.441
07/1996,64.776
08/1996,57.951
09/1996,45.295
10/1996,53.024
11/1996,41.943
12/1996,62.624
01/1997,61.863
02/1997,60.967
03/1997,42.921
04/1997,82.413
05/1997,69.44
06/1997,68.847
07/1997,61.48
08/1997,57.644
09/1997,49.206
10/1997,40.3
11/1997,65.666
12/1997,146.532
01/1998,73.149
02/1998,58.183
03/1998,63.455
04/1998,62.61
05/1998,72.902
06/1998,56.645
07/1998,48.343
08/1998,77.284
09/1998,42.165
10/1998,50.466
11/1998,50.984
12/1998,53.093
01/1999,56.956
02/1999,23.483
03/1999,62.102
04/1999,109.151
05/1999,78.042
06/1999,62.679
07/1999,70.261
08/1999,68.633
09/1999,74.559
10/1999,85.849
11/1999,133.717
12/1999,62.605
01/2000,82.935
02/2000,106.144
03/2000,98.375
04/2000,166.726
05/2000,80.975
06/2000,123.789
07/2000,103.364
08/2000,125.535
09/2000,150.653
10/2000,124.078
11/2000,140.461
12/2000,110.18
01/2001,76.193
02/2001,88.859
03/2001,109.461
04/2001,219.418
05/2001,108.969
06/2001,102.784
07/2001,154.93
08/2001,149.812
09/2001,96.011
10/2001,154.226
11/2001,193.636
12/2001,72.068
01/2002,104.27
02/2002,100.834
03/2002,99.475
04/2002,194.908
05/2002,131.699
06/2002,157.266
07/2002,178.467
08/2002,97.703
09/2002,149.22
10/2002,194.545
11/2002,85.644
12/2002,182.869
01/2003,147.1
02/2003,150
03/2003,96.6
04/2003,201.2
05/2003,43.6
06/2003,187.4
07/2003,141.6
08/2003,132.8
09/2003,199.2
10/2003,174.2
11/2003,191.9
12/2003,119
01/2004,125.6
02/2004,152
03/2004,254.9
04/2004,57.5
05/2004,252.5
06/2004,103.4
07/2004,178.5
08/2004,111.9
09/2004,454.4
10/2004,284.6
11/2004,265.6
12/2004,127.5
01/2005,224.3
02/2005,58.9
03/2005,271.7
04/2005,245
05/2005,275.1
06/2005,213.3
07/2005,347.4
08/2005,137.2
09/2005,392.1
10/2005,352.8
11/2005,291.2
12/2005,216.5
01/2006,241.2
02/2006,262.2
03/2006,246.1
04/2006,184
05/2006,129.8
06/2006,189.9
07/2006,196.4
08/2006,220.8
09/2006,309
10/2006,141
11/2006,254.1
12/2006,247
01/2007,249.1
02/2007,231.9
03/2007,253.1
04/2007,226.4
05/2007,323.6
06/2007,302.4
07/2007,230
08/2007,274.2
09/2007,303.7
10/2007,338.8
11/2007,247.3
12/2007,243.7
01/2008,285.5
02/2008,160.4
03/2008,412
04/2008,341.5
05/2008,160.2
06/2008,337.6
07/2008,420
08/2008,154.2
09/2008,357.9
10/2008,388.3
11/2008,192.5
12/2008,218.3
01/2009,246.6
02/2009,253.5
03/2009,360.6
04/2009,300.3
05/2009,302.6
06/2009,264.8
07/2009,248.8
08/2009,309.1
09/2009,322.5
10/2009,334.8
11/2009,201.6
12/2009,216
01/2010,253
02/2010,214.8
03/2010,211.9
04/2010,205.4
05/2010,147.9
06/2010,156.3
07/2010,205.8
08/2010,211.4
09/2010,138.9
10/2010,137.7
11/2010,161.8
12/2010,148.1
01/2011,133.1
02/2011,106
03/2011,146.9
04/2011,142.2
05/2011,178.2
06/2011,236.4
07/2011,181.5
08/2011,170
09/2011,194.6
10/2011,180.9
11/2011,175.8
12/2011,239
01/2012,151.8
02/2012,173.9
03/2012,205.7
04/2012,259.5
05/2012,214.9
06/2012,228.5
07/2012,315.8
08/2012,223.1
09/2012,381.8
10/2012,226.7
11/2012,193.3
12/2012,231.8
01/2013,295
02/2013,181.8
03/2013,215.4
04/2013,285.1
05/2013,259.4
06/2013,224.2
07/2013,333.2
08/2013,308.1
09/2013,332.2
10/2013,359
11/2013,791.2
12/2013,241.2
01/2014,283.2
02/2014,193
03/2014,276.8
04/2014,400.9
05/2014,375.8
06/2014,431
07/2014,320
08/2014,292.4
09/2014,362.7
10/2014,346.3
11/2014,317.4
12/2014,452.7
01/2015,458.4
02/2015,331.1
03/2015,412.4
04/2015,399.8
05/2015,482.1
06/2015,487.3
07/2015,448.9
08/2015,385.2
09/2015,418.2
10/2015,417
11/2015,322.2
12/2015,380.3
01/2016,304.9
02/2016,247.5
03/2016,374.7
04/2016,367.4
05/2016,382.8
06/2016,344
07/2016,354.5
08/2016,393.5
09/2016,366.9
10/2016,299.8
11/2016,370.2
12/2016,341.9
01/2017,372.6
02/2017,286.2
03/2017,421.5
04/2017,419.3
05/2017,417.6
06/2017,379.8
07/2017,405.6
08/2017,377
09/2017,376.5
10/2017,418.6
11/2017,372.9
12/2017,385.2
01/2018,393.8
02/2018,269.5
03/2018,413.8
04/2018,378.5
05/2018,380
06/2018,389.3
07/2018,442
08/2018,418.7
09/2018,421.6
10/2018,387.7
11/2018,400.8
12/2018,384.3
01/2019,420.4
02/2019,281.5
03/2019,460.5
04/2019,408.5
05/2019,492
06/2019,391.1
07/2019,498
08/2019,549.6
09/2019,371.8
10/2019,361.4
11/2019,385
12/2019,354.7
01/2020,382
02/2020,570.8
03/2020,563.5
04/2020,832.5
05/2020,337.5
06/2020,312.7
07/2020,368.5
08/2020,416.8
09/2020,387.7
10/2020,461.1
11/2020,452.7
12/2020,448.9
01/2021,428.3
02/2021,442
03/2021,541
04/2021,517.2
05/2021,452.6
06/2021,493.8
07/2021,546.3
08/2021,458.2
09/2021,457.4
10/2021,482.4
11/2021,522.1
12/2021,543.8
01/2022,561.2
02/2022,445.5
03/2022,636.6
04/2022,821.2
05/2022,781.8
06/2022,706.1
07/2022,759.7
08/2022,688.3
09/2022,594.9
10/2022,522.4
11/2022,489
12/2022,567.4
01/2023,520.8
02/2023,509.6
03/2023,560.2
04/2023,498.5
05/2023,519.3
06/2023,536.7
07/2023,560.7
08/2023,553.3
09/2023,513.5
10/2023,584.5
11/2023,546.1
12/2023,656.6
01/2024,678.8
02/2024,550.6
03/2024,603.4
04/2024,772.8
05/2024,683.9
06/2024,653.9
07/2024,763.8
08/2024,876.3
09/2024,694.4
10/2024,803.6
11/2024,717.1
12/2024,781.2
01/2025,793.4
02/2025,721
03/2025,1040.9
04/2025,1104.6
05/2025,869.3
06/2025,993.1
07/2025,1154.3
08/2025,965.5
09/2025,1041.2
10/2025,1681.7
11/2025,1113.5
12/2025,1669
01/2026,1590.4
