,进口：韩国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36416701 (SJCJ)
SR码,SR739132
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
平均 MEAN,1117.5840998336123
方差,1138834.1321090239
标准差,1067.161717880202
偏度,0.8150471082177156
峰度,-0.4032925026372043
变异系数,0.9548826956638725
最小,10.219
最大,4382.6
中位数,644.424
总和 SUM,671668.0439999996
减 SUBTRACT,-4372.381
参照期间,601
01/1976,18.364
02/1976,10.219
03/1976,15.692
04/1976,10.975
05/1976,12.29
06/1976,17.06
07/1976,19.296
08/1976,24.716
09/1976,14.748
10/1976,25.422
11/1976,16.176
12/1976,21.825
01/1977,23.725
02/1977,32.162
03/1977,16.447
04/1977,14.872
05/1977,20.952
06/1977,19.042
07/1977,25.327
08/1977,28.131
09/1977,27.931
10/1977,14.024
11/1977,18.083
12/1977,19.632
01/1978,26.399
02/1978,20.611
03/1978,25.908
04/1978,22.57
05/1978,23.436
06/1978,25.078
07/1978,29.884
08/1978,30.891
09/1978,37.68
10/1978,27.271
11/1978,29.286
12/1978,35.581
01/1979,30.217
02/1979,29.943
03/1979,34.608
04/1979,38.094
05/1979,38.499
06/1979,28.753
07/1979,41.484
08/1979,32.111
09/1979,38.131
10/1979,34.028
11/1979,39.866
12/1979,38.154
01/1980,50.658
02/1980,25.896
03/1980,37.559
04/1980,38.393
05/1980,62.417
06/1980,42.696
07/1980,74.759
08/1980,44.847
09/1980,61.397
10/1980,58.471
11/1980,42.176
12/1980,45.414
01/1981,51.329
02/1981,42.929
03/1981,49.065
04/1981,55.094
05/1981,66.974
06/1981,61.161
07/1981,56.222
08/1981,63.415
09/1981,53.127
10/1981,52.034
11/1981,56.18
12/1981,53.787
01/1982,48.506
02/1982,51.116
03/1982,61.665
04/1982,56.443
05/1982,65.008
06/1982,77.542
07/1982,62.414
08/1982,68.104
09/1982,59.97
10/1982,64.242
11/1982,65.834
12/1982,62.93
01/1983,93.695
02/1983,70.957
03/1983,64.36
04/1983,60.428
05/1983,101.695
06/1983,74.269
07/1983,82.077
08/1983,71.811
09/1983,64.467
10/1983,80.789
11/1983,69.931
12/1983,69.515
01/1984,80.812
02/1984,69.893
03/1984,70.915
04/1984,68.769
05/1984,70.403
06/1984,65.316
07/1984,62.36
08/1984,66.978
09/1984,47.167
10/1984,61.248
11/1984,56.982
12/1984,63.132
01/1985,134.516
02/1985,102.691
03/1985,60.08
04/1985,67.547
05/1985,66.834
06/1985,62.742
07/1985,57.598
08/1985,70.092
09/1985,76.929
10/1985,117.949
11/1985,56.418
12/1985,56.944
01/1986,114.356
02/1986,54.869
03/1986,115.66
04/1986,78.783
05/1986,149.172
06/1986,79.103
07/1986,85.135
08/1986,86.837
09/1986,147.104
10/1986,111.346
11/1986,156.978
12/1986,109.278
01/1987,118.251
02/1987,103.946
03/1987,92.207
04/1987,152.998
05/1987,119.264
06/1987,119.727
07/1987,150.074
08/1987,132.084
09/1987,141.21
10/1987,253.339
11/1987,201.277
12/1987,252.87
01/1988,154.72
02/1988,213.652
03/1988,181.322
04/1988,176.027
05/1988,239.703
06/1988,204.138
07/1988,251.483
08/1988,194.957
09/1988,231.838
10/1988,223.986
11/1988,244.852
12/1988,225.448
01/1989,180.609
02/1989,178.755
03/1989,192.049
04/1989,245.088
05/1989,181.587
06/1989,232.919
07/1989,231.014
08/1989,248.883
09/1989,259.271
10/1989,337.936
11/1989,248.073
12/1989,362.275
01/1990,242.266
02/1990,236.882
03/1990,389.558
04/1990,267.724
05/1990,265.122
06/1990,256.115
07/1990,293.189
08/1990,258.894
09/1990,260.909
10/1990,249.126
11/1990,267.463
12/1990,230.627
01/1991,248.774
02/1991,226.5
03/1991,234.346
04/1991,228.465
05/1991,253.16
06/1991,245.747
07/1991,278.869
08/1991,228.157
09/1991,406.268
10/1991,284.994
11/1991,321.337
12/1991,284.416
01/1992,399.158
02/1992,246.713
03/1992,473.6
04/1992,287.665
05/1992,271.427
06/1992,285.603
07/1992,324.597
08/1992,288.409
09/1992,270.854
10/1992,357.162
11/1992,311.36
12/1992,352.119
01/1993,292.7
02/1993,311.307
03/1993,300.637
04/1993,331.783
05/1993,343.674
06/1993,387.483
07/1993,406.454
08/1993,345.11
09/1993,423.315
10/1993,391.202
11/1993,466.138
12/1993,428.695
01/1994,406.891
02/1994,449.28
03/1994,492.338
04/1994,503.282
05/1994,477.569
06/1994,493.364
07/1994,576.779
08/1994,503.601
09/1994,470.807
10/1994,527.059
11/1994,523.363
12/1994,561.208
01/1995,488.144
02/1995,473.563
03/1995,559.231
04/1995,613.77
05/1995,623.304
06/1995,593.123
07/1995,723.036
08/1995,758.195
09/1995,678.679
10/1995,691.776
11/1995,711.536
12/1995,738.015
01/1996,569.017
02/1996,592.675
03/1996,587.685
04/1996,539.699
05/1996,683.698
06/1996,436.025
07/1996,501.211
08/1996,479.814
09/1996,456.078
10/1996,470.502
11/1996,440.826
12/1996,604.752
01/1997,588.085
02/1997,544.506
03/1997,634.13
04/1997,490.974
05/1997,439.456
06/1997,498.042
07/1997,502.863
08/1997,451.768
09/1997,470.212
10/1997,541.522
11/1997,441.864
12/1997,452.881
01/1998,383.04
02/1998,551.211
03/1998,470.037
04/1998,398.695
05/1998,359.025
06/1998,447.816
07/1998,368.869
08/1998,385.583
09/1998,479.778
10/1998,456.421
11/1998,381.658
12/1998,405.366
01/1999,412.032
02/1999,419.956
03/1999,498.328
04/1999,593.67
05/1999,616.081
06/1999,557.984
07/1999,696.316
08/1999,541.023
09/1999,588.515
10/1999,811.256
11/1999,652.754
12/1999,675.529
01/2000,539.512
02/2000,565.737
03/2000,626.947
04/2000,834.381
05/2000,684.648
06/2000,643.655
07/2000,683.662
08/2000,835.983
09/2000,749.577
10/2000,700.61
11/2000,700.116
12/2000,743.896
01/2001,577.75
02/2001,650.312
03/2001,644.424
04/2001,578.247
05/2001,492.007
06/2001,504.693
07/2001,558.249
08/2001,540.903
09/2001,550.33
10/2001,571.411
11/2001,613.086
12/2001,561.244
01/2002,572.522
02/2002,538.28
03/2002,629.871
04/2002,585.584
05/2002,627.839
06/2002,689.682
07/2002,819.493
08/2002,705.465
09/2002,672.761
10/2002,636.602
11/2002,665.676
12/2002,594.445
01/2003,676.3
02/2003,540
03/2003,678.4
04/2003,696.8
05/2003,710.7
06/2003,639.6
07/2003,759.4
08/2003,811.3
09/2003,755.8
10/2003,798.5
11/2003,836.8
12/2003,756.9
01/2004,792.1
02/2004,795.1
03/2004,928.1
04/2004,980.3
05/2004,999.8
06/2004,929.1
07/2004,1061.9
08/2004,1032.1
09/2004,981.8
10/2004,1106.5
11/2004,1098.8
12/2004,1183.7
01/2005,1172.9
02/2005,876.9
03/2005,1194.3
04/2005,1045.1
05/2005,1058.2
06/2005,1172
07/2005,1198.5
08/2005,1186.5
09/2005,1225.5
10/2005,1380.9
11/2005,1472.8
12/2005,1426.3
01/2006,1232.7
02/2006,1316.9
03/2006,1393.9
04/2006,1277.4
05/2006,1450.1
06/2006,1669.8
07/2006,1471.7
08/2006,1451.6
09/2006,1298.5
10/2006,1696.1
11/2006,1464.3
12/2006,1244.1
01/2007,1702.5
02/2007,1151.2
03/2007,1441.8
04/2007,1463.1
05/2007,1373.6
06/2007,1658.8
07/2007,1816.2
08/2007,1437.8
09/2007,1526.2
10/2007,1784.2
11/2007,2188.9
12/2007,1813.7
01/2008,2519.8
02/2008,1588.5
03/2008,2161.4
04/2008,2688.6
05/2008,2163.6
