,进口：马来西亚
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36416601 (SJCI)
SR码,SR739134
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,[COVID-19-IMPACT]
建议,
平均 MEAN,2846.177379367721
方差,3327783.4415367097
标准差,1824.2213247127415
偏度,0.22486010679939483
峰度,-0.9514372492394667
变异系数,0.640937328058588
最小,213.953
最大,7882.2
中位数,2934.5
总和 SUM,1710552.6049999995
减 SUBTRACT,-7668.246999999999
参照期间,601
01/1976,213.953
02/1976,233.947
03/1976,235.421
04/1976,252.143
05/1976,247.634
06/1976,259.49
07/1976,268.154
08/1976,291.982
09/1976,269.97
10/1976,346.106
11/1976,307.732
12/1976,277.666
01/1977,307.877
02/1977,232.75
03/1977,284.776
04/1977,272.28
05/1977,272.255
06/1977,309.574
07/1977,314.815
08/1977,304.781
09/1977,312.801
10/1977,277.046
11/1977,282.336
12/1977,294.715
01/1978,315.126
02/1978,234.468
03/1978,322.074
04/1978,264.395
05/1978,278.785
06/1978,322.478
07/1978,302.798
08/1978,358.146
09/1978,370.779
10/1978,353.166
11/1978,340.608
12/1978,330.801
01/1979,370.913
02/1979,353.988
03/1979,416.314
04/1979,393.854
05/1979,446.24
06/1979,461.712
07/1979,492.179
08/1979,492.514
09/1979,435.357
10/1979,505.868
11/1979,514.466
12/1979,509.973
01/1980,695.168
02/1980,563.112
03/1980,548.533
04/1980,654.409
05/1980,558.129
06/1980,579.664
07/1980,606.504
08/1980,657.441
09/1980,552.302
10/1980,651.528
11/1980,539.349
12/1980,509.502
01/1981,660.595
02/1981,551.251
03/1981,705.648
04/1981,628.511
05/1981,615.851
06/1981,607.311
07/1981,646.759
08/1981,620.394
09/1981,515.414
10/1981,583.296
11/1981,555.305
12/1981,519.147
01/1982,563.732
02/1982,598.657
03/1982,841.579
04/1982,677.88
05/1982,689.922
06/1982,672.592
07/1982,692.014
08/1982,690.423
09/1982,613.551
10/1982,699.461
11/1982,682.019
12/1982,643.797
01/1983,620.951
02/1983,648.448
03/1983,831.08
04/1983,698.352
05/1983,709.529
06/1983,817.546
07/1983,708.318
08/1983,725.859
09/1983,636.424
10/1983,705.093
11/1983,756.201
12/1983,780.962
01/1984,754.718
02/1984,667.757
03/1984,740.38
04/1984,798.76
05/1984,849.241
06/1984,800.762
07/1984,857.921
08/1984,798.372
09/1984,676.718
10/1984,780.736
11/1984,802.122
12/1984,652.171
01/1985,769.011
02/1985,747.344
03/1985,752.745
04/1985,765.036
05/1985,624.469
06/1985,783.142
07/1985,645.489
08/1985,600.814
09/1985,645.1
10/1985,573.946
11/1985,597.779
12/1985,796.123
01/1986,600.291
02/1986,565.967
03/1986,669.726
04/1986,646.616
05/1986,549.784
06/1986,584.797
07/1986,635.895
08/1986,630.354
09/1986,570.511
10/1986,635.91
11/1986,596.381
12/1986,716.384
01/1987,638.567
02/1987,630.149
03/1987,653.536
04/1987,817.378
05/1987,743.114
06/1987,663.825
07/1987,920.627
08/1987,849.124
09/1987,822.219
10/1987,924.993
11/1987,881.757
12/1987,932.147
01/1988,890.686
02/1988,874.796
03/1988,976.637
04/1988,998.497
05/1988,1001.053
06/1988,1291.537
07/1988,1109.111
08/1988,1165.451
09/1988,1013.94
10/1988,1153.913
11/1988,981.298
12/1988,1471.746
01/1989,698.809
02/1989,891.954
03/1989,1243.029
04/1989,1010.992
05/1989,920.247
06/1989,1067.281
07/1989,885.89
08/1989,1275.4
09/1989,1374.251
10/1989,1324.977
11/1989,1064.409
12/1989,1026.744
01/1990,1472.712
02/1990,1380.296
03/1990,1321.765
04/1990,1348.433
05/1990,1048.79
06/1990,1039.389
07/1990,876.625
08/1990,924.016
09/1990,825.65
10/1990,1349.518
11/1990,1753.29
12/1990,1623.014
01/1991,1907.697
02/1991,1683.301
03/1991,1736.589
04/1991,1278.39
05/1991,1066.969
06/1991,1464.971
07/1991,1692.659
08/1991,1373.18
09/1991,1318.717
10/1991,1090.718
11/1991,1394.459
12/1991,1374.815
01/1992,1224.665
02/1992,1220.755
03/1992,1545.295
04/1992,1517.304
05/1992,1125.646
06/1992,1438.56
07/1992,1537.869
08/1992,1154.192
09/1992,1214.924
10/1992,1642.88
11/1992,1686.694
12/1992,1978.399
01/1993,1664.161
02/1993,1995.46
03/1993,1658.453
04/1993,1833.689
05/1993,2052.335
06/1993,1942.924
07/1993,1762.207
08/1993,1826.415
09/1993,2127.067
10/1993,1908.545
11/1993,1706.742
12/1993,2191.553
01/1994,2180.546
02/1994,1702.648
03/1994,1901.47
04/1994,2441.81
05/1994,2030.844
06/1994,2046.662
07/1994,2220.441
08/1994,2249.55
09/1994,2306.122
10/1994,2150.171
11/1994,2113.93
12/1994,2256.16
01/1995,2135.62
02/1995,1988.801
03/1995,2069.508
04/1995,2145.32
05/1995,2275.919
06/1995,2346.685
07/1995,2405.431
08/1995,2442.782
09/1995,2269.615
10/1995,2381.394
11/1995,2400.075
12/1995,2423.875
01/1996,2500.712
02/1996,1789.05
03/1996,2431.428
04/1996,2187.847
05/1996,2326.11
06/1996,2247.032
07/1996,2391.066
08/1996,2328.459
09/1996,2319.376
10/1996,2436.065
11/1996,2407.38
12/1996,2443.473
01/1997,2567.024
02/1997,1693.758
03/1997,2608.842
04/1997,2305.584
05/1997,2504.464
06/1997,2450.778
07/1997,2586.7
08/1997,2599.674
09/1997,2662.309
10/1997,2538.072
11/1997,2519.403
12/1997,2511.65
01/1998,2108.492
02/1998,2027.498
03/1998,2414.047
04/1998,2191.735
05/1998,2097.677
06/1998,2150.083
07/1998,2228.771
08/1998,2246.174
09/1998,2303.752
10/1998,2220.826
11/1998,2108.236
12/1998,2155.09
01/1999,2070.823
02/1999,1893.195
03/1999,2340.524
04/1999,2478.077
05/1999,2410.207
06/1999,2367.529
07/1999,2595.784
08/1999,2494.797
09/1999,2502.179
10/1999,2609.721
11/1999,2640.181
12/1999,2879.977
01/2000,2611.654
02/2000,2515.239
03/2000,3183.701
04/2000,2922.221
05/2000,3143.583
06/2000,3396.217
07/2000,3463.492
08/2000,3589.953
09/2000,3754.428
10/2000,3649.459
11/2000,3806.281
12/2000,3363.163
01/2001,3003.275
02/2001,2961.99
03/2001,3134.423
04/2001,2902.166
05/2001,3002.942
06/2001,2909.781
07/2001,2897.926
08/2001,2976.74
09/2001,2948.804
10/2001,3192.276
11/2001,3127.019
12/2001,2917.302
01/2002,3121.587
02/2002,2519.417
03/2002,3239.159
04/2002,3117.993
05/2002,3298.132
06/2002,3186.124
07/2002,3272.678
08/2002,3293.775
09/2002,3347.77
10/2002,3493.612
11/2002,3192.148
12/2002,2870.793
01/2003,3003.6
02/2003,2591.4
03/2003,3172.3
04/2003,3150
05/2003,3143.8
06/2003,3032.1
07/2003,3206.9
08/2003,3158.2
09/2003,3208
10/2003,3371.2
11/2003,3119.8
12/2003,3375.9
01/2004,2934.5
02/2004,3077.1
03/2004,3587.4
04/2004,3368.8
05/2004,3300.4
06/2004,3620.4
07/2004,3629.8
08/2004,3864.9
09/2004,3847.1
10/2004,3855.2
11/2004,3380.2
12/2004,3738
01/2005,3552.1
02/2005,3011.2
03/2005,3985.3
04/2005,3676.2
05/2005,3427
06/2005,3805.1
07/2005,3782.6
08/2005,3912
09/2005,4144.5
10/2005,4209.9
11/2005,3754.1
12/2005,4269.2
01/2006,4003.6
02/2006,3823.8
03/2006,4525.9
04/2006,4007.1
05/2006,4269.1
06/2006,4268.5
07/2006,4132.4
08/2006,4377.7
09/2006,4337.4
